個案研判日,縣市,確定病例數
2020/02/18,台中市,1
2020/02/19,台中市,1
2020/03/13,台中市,1
2020/03/20,台中市,1
2020/03/29,台中市,1
2021/05/15,台中市,1
2021/05/17,台中市,1
2021/05/19,台中市,5
2021/05/20,台中市,3
2021/05/21,台中市,6
2021/05/22,台中市,11
2021/05/23,台中市,5
2021/05/24,台中市,8
2021/05/25,台中市,10
2021/05/26,台中市,11
2021/05/27,台中市,10
2021/05/28,台中市,10
2021/05/29,台中市,33
2021/05/30,台中市,9
2021/05/31,台中市,5
2021/06/01,台中市,10
2021/06/02,台中市,3
2021/06/03,台中市,5
2021/06/04,台中市,7
2021/06/05,台中市,9
2021/06/06,台中市,2
2021/06/08,台中市,1
2021/06/09,台中市,1
2021/06/11,台中市,4
2021/06/12,台中市,2
2021/06/13,台中市,1
2021/06/14,台中市,1
2021/06/15,台中市,2
2021/06/16,台中市,1
2021/06/17,台中市,2
2021/06/18,台中市,2
2021/06/19,台中市,1
2021/06/20,台中市,6
2021/06/21,台中市,2
2021/06/22,台中市,1
2021/06/25,台中市,1
2021/07/02,台中市,2
2021/07/11,台中市,1
2021/07/12,台中市,1
2021/07/13,台中市,1
2021/07/14,台中市,2
2021/07/17,台中市,1
2021/07/23,台中市,1
2021/07/31,台中市,1
2022/01/27,台中市,2
2022/02/24,台中市,1
2022/03/31,台中市,2
2022/04/01,台中市,2
2022/04/02,台中市,3
2022/04/03,台中市,1
2022/04/04,台中市,4
2022/04/05,台中市,2
2022/04/06,台中市,5
2022/04/07,台中市,5
2022/04/08,台中市,7
2022/04/09,台中市,7
2022/04/10,台中市,9
2022/04/11,台中市,21
2022/04/12,台中市,26
2022/04/13,台中市,26
2022/04/14,台中市,31
2022/04/15,台中市,38
2022/04/16,台中市,24
2022/04/17,台中市,40
2022/04/18,台中市,50
2022/04/19,台中市,69
2022/04/20,台中市,134
2022/04/21,台中市,177
2022/04/22,台中市,187
2022/04/23,台中市,154
2022/04/24,台中市,194
2022/04/25,台中市,284
2022/04/26,台中市,356
2022/04/27,台中市,628
2022/04/28,台中市,590
2022/04/29,台中市,764
2022/04/30,台中市,822
2022/05/01,台中市,848
2022/05/02,台中市,1207
2022/05/03,台中市,1713
2022/05/04,台中市,1842
2022/05/05,台中市,1929
2022/05/06,台中市,2536
2022/05/07,台中市,2363
2022/05/08,台中市,2125
2022/05/09,台中市,2228
2022/05/10,台中市,4501
2022/05/11,台中市,3769
2022/05/12,台中市,3697
2022/05/13,台中市,4351
2022/05/14,台中市,4003
2022/05/15,台中市,4422
2022/05/16,台中市,4719
2022/05/17,台中市,6741
2022/05/18,台中市,7490
2022/05/19,台中市,7182
2022/05/20,台中市,7875
2022/05/21,台中市,7132
2022/05/22,台中市,7108
2022/05/23,台中市,9083
2022/05/24,台中市,9810
2022/05/25,台中市,9966
2022/05/26,台中市,11508
2022/05/27,台中市,9061
2022/05/28,台中市,8926
2022/05/29,台中市,7645
2022/05/30,台中市,10662
2022/05/31,台中市,11673
2022/06/01,台中市,10752
2022/06/02,台中市,10632
2022/06/03,台中市,9523
2022/06/04,台中市,8804
2022/06/05,台中市,7111
2022/06/06,台中市,12601
2022/06/07,台中市,11665
2022/06/08,台中市,10663
2022/06/09,台中市,10182
2022/06/10,台中市,7678
2022/06/11,台中市,11531
2022/06/12,台中市,6680
2022/06/13,台中市,10305
2022/06/14,台中市,10815
2022/06/15,台中市,9666
2022/06/16,台中市,8422
2022/06/17,台中市,8047
2022/06/18,台中市,7947
2022/06/19,台中市,5398
2022/06/20,台中市,8440
2022/06/21,台中市,8000
2022/06/22,台中市,7131
2022/06/23,台中市,6810
2022/06/24,台中市,6137
2022/06/25,台中市,5619
2022/06/26,台中市,4071
2022/06/27,台中市,6470
2022/06/28,台中市,6224
2022/06/29,台中市,5717
2022/06/30,台中市,5246
2022/07/01,台中市,5046
2022/07/02,台中市,4503
2022/07/03,台中市,3290
2022/07/04,台中市,5023
2022/07/05,台中市,4787
2022/07/06,台中市,4155
2022/07/07,台中市,3915
2022/07/08,台中市,3681
2022/07/09,台中市,3596
2022/07/10,台中市,2632
2022/07/11,台中市,4069
2022/07/12,台中市,3965
2022/07/13,台中市,3672
2022/07/14,台中市,3335
2022/07/15,台中市,3249
2022/07/16,台中市,3089
2022/07/17,台中市,2253
2022/07/18,台中市,3436
2022/07/19,台中市,3425
2022/07/20,台中市,3178
2022/07/21,台中市,2891
2022/07/22,台中市,2937
2022/07/23,台中市,2658
2022/07/24,台中市,2090
2022/07/25,台中市,3146
2022/07/26,台中市,3199
2022/07/27,台中市,2972
2022/07/28,台中市,2729
2022/07/29,台中市,2782
2022/07/30,台中市,2619
2022/07/31,台中市,2013
2022/08/01,台中市,2993
2022/08/02,台中市,3016
2022/08/03,台中市,2846
2022/08/04,台中市,2674
2022/08/05,台中市,2356
2022/08/06,台中市,2691
2022/08/07,台中市,1880
2022/08/08,台中市,3074
2022/08/09,台中市,2997
2022/08/10,台中市,2835
2022/08/11,台中市,2668
2022/08/12,台中市,2556
2022/08/13,台中市,2485
2022/08/14,台中市,1885
2022/08/15,台中市,2723
2022/08/16,台中市,3000
2022/08/17,台中市,2788
2022/08/18,台中市,2727
2022/08/19,台中市,2716
2022/08/20,台中市,2564
2022/08/21,台中市,1877
2022/08/22,台中市,3040
2022/08/23,台中市,3420
2022/08/24,台中市,3018
2022/08/25,台中市,3037
2022/08/26,台中市,2989
2022/08/27,台中市,3107
2022/08/28,台中市,2277
2022/08/29,台中市,3782
2022/08/30,台中市,4158
2022/08/31,台中市,4020
2022/09/01,台中市,4000
2022/09/02,台中市,3860
2022/09/03,台中市,4027
2022/09/04,台中市,2576
2022/09/05,台中市,4610
2022/09/06,台中市,5043
2022/09/07,台中市,4371
2022/09/08,台中市,4038
2022/09/09,台中市,4603
2022/09/10,台中市,4346
2022/09/11,台中市,2989
