個案研判日,縣市,確定病例數
2020/03/18,台南市,1
2021/05/19,台南市,2
2021/05/22,台南市,1
2021/05/23,台南市,2
2021/05/24,台南市,3
2021/05/25,台南市,4
2021/05/26,台南市,8
2021/05/27,台南市,1
2021/05/28,台南市,6
2021/06/01,台南市,1
2021/06/02,台南市,2
2021/06/03,台南市,2
2021/06/05,台南市,1
2021/06/06,台南市,2
2021/06/08,台南市,1
2021/06/09,台南市,1
2021/06/10,台南市,1
2021/06/11,台南市,1
2021/06/15,台南市,2
2021/06/27,台南市,8
2022/01/24,台南市,1
2022/01/25,台南市,2
2022/01/27,台南市,1
2022/02/11,台南市,1
2022/02/16,台南市,1
2022/02/17,台南市,2
2022/02/19,台南市,1
2022/02/20,台南市,1
2022/02/21,台南市,1
2022/02/27,台南市,1
2022/03/04,台南市,1
2022/03/06,台南市,4
2022/03/07,台南市,4
2022/03/08,台南市,2
2022/03/10,台南市,3
2022/03/11,台南市,1
2022/03/12,台南市,3
2022/03/13,台南市,1
2022/03/20,台南市,2
2022/03/21,台南市,1
2022/03/24,台南市,1
2022/04/05,台南市,4
2022/04/06,台南市,5
2022/04/07,台南市,7
2022/04/08,台南市,6
2022/04/09,台南市,17
2022/04/10,台南市,4
2022/04/11,台南市,9
2022/04/12,台南市,11
2022/04/13,台南市,18
2022/04/14,台南市,20
2022/04/15,台南市,32
2022/04/16,台南市,11
2022/04/17,台南市,18
2022/04/18,台南市,41
2022/04/19,台南市,33
2022/04/20,台南市,33
2022/04/21,台南市,62
2022/04/22,台南市,44
2022/04/23,台南市,42
2022/04/24,台南市,70
2022/04/25,台南市,89
2022/04/26,台南市,169
2022/04/27,台南市,183
2022/04/28,台南市,217
2022/04/29,台南市,253
2022/04/30,台南市,289
2022/05/01,台南市,375
2022/05/02,台南市,451
2022/05/03,台南市,739
2022/05/04,台南市,771
2022/05/05,台南市,866
2022/05/06,台南市,1264
2022/05/07,台南市,1206
2022/05/08,台南市,1331
2022/05/09,台南市,1401
2022/05/10,台南市,2135
2022/05/11,台南市,2187
2022/05/12,台南市,2232
2022/05/13,台南市,2456
2022/05/14,台南市,2325
2022/05/15,台南市,2461
2022/05/16,台南市,2701
2022/05/17,台南市,3883
2022/05/18,台南市,4646
2022/05/19,台南市,4652
2022/05/20,台南市,4528
2022/05/21,台南市,4543
2022/05/22,台南市,4453
2022/05/23,台南市,5477
2022/05/24,台南市,5819
2022/05/25,台南市,5786
2022/05/26,台南市,7231
2022/05/27,台南市,6566
2022/05/28,台南市,5777
2022/05/29,台南市,4151
2022/05/30,台南市,6391
2022/05/31,台南市,7492
2022/06/01,台南市,5960
2022/06/02,台南市,6360
2022/06/03,台南市,5403
2022/06/04,台南市,5306
2022/06/05,台南市,4288
2022/06/06,台南市,7212
2022/06/07,台南市,6777
2022/06/08,台南市,6020
2022/06/09,台南市,5996
2022/06/10,台南市,4529
2022/06/11,台南市,7021
2022/06/12,台南市,3819
2022/06/13,台南市,6031
2022/06/14,台南市,6710
2022/06/15,台南市,5998
2022/06/16,台南市,5293
2022/06/17,台南市,5178
2022/06/18,台南市,5024
2022/06/19,台南市,2992
2022/06/20,台南市,5389
2022/06/21,台南市,4674
2022/06/22,台南市,4312
2022/06/23,台南市,4258
2022/06/24,台南市,3490
2022/06/25,台南市,3675
2022/06/26,台南市,2408
2022/06/27,台南市,4027
2022/06/28,台南市,3814
2022/06/29,台南市,3239
2022/06/30,台南市,3033
2022/07/01,台南市,2900
2022/07/02,台南市,2797
2022/07/03,台南市,1762
2022/07/04,台南市,2986
2022/07/05,台南市,2750
2022/07/06,台南市,2363
2022/07/07,台南市,2278
2022/07/08,台南市,2147
2022/07/09,台南市,2211
2022/07/10,台南市,1337
2022/07/11,台南市,2449
2022/07/12,台南市,2143
2022/07/13,台南市,1965
2022/07/14,台南市,1775
2022/07/15,台南市,1784
2022/07/16,台南市,1716
2022/07/17,台南市,1258
2022/07/18,台南市,1799
2022/07/19,台南市,1856
2022/07/20,台南市,1906
2022/07/21,台南市,1826
2022/07/22,台南市,1635
2022/07/23,台南市,1700
2022/07/24,台南市,1332
2022/07/25,台南市,1926
2022/07/26,台南市,1976
2022/07/27,台南市,1836
2022/07/28,台南市,1844
2022/07/29,台南市,1665
2022/07/30,台南市,1581
2022/07/31,台南市,1252
2022/08/01,台南市,1986
2022/08/02,台南市,1850
2022/08/03,台南市,1715
2022/08/04,台南市,1649
2022/08/05,台南市,1415
2022/08/06,台南市,1656
2022/08/07,台南市,1124
2022/08/08,台南市,1798
2022/08/09,台南市,1653
2022/08/10,台南市,1547
2022/08/11,台南市,1490
2022/08/12,台南市,1505
2022/08/13,台南市,1370
2022/08/14,台南市,933
2022/08/15,台南市,1596
2022/08/16,台南市,1615
2022/08/17,台南市,1457
2022/08/18,台南市,1358
2022/08/19,台南市,1296
2022/08/20,台南市,1298
2022/08/21,台南市,1053
2022/08/22,台南市,1598
2022/08/23,台南市,1624
2022/08/24,台南市,1673
2022/08/25,台南市,1576
2022/08/26,台南市,1483
2022/08/27,台南市,1632
2022/08/28,台南市,1172
2022/08/29,台南市,1949
2022/08/30,台南市,2089
2022/08/31,台南市,1975
2022/09/01,台南市,1934
2022/09/02,台南市,1948
2022/09/03,台南市,1926
2022/09/04,台南市,1294
2022/09/05,台南市,2056
2022/09/06,台南市,2156
2022/09/07,台南市,1817
2022/09/08,台南市,1799
2022/09/09,台南市,1880
2022/09/10,台南市,1676
2022/09/11,台南市,1460
2022/09/12,台南市,2821
2022/09/13,台南市,2709
2022/09/14,台南市,2505
2022/09/15,台南市,2383
2022/09/16,台南市,2189
2022/09/17,台南市,2199
2022/09/18,台南市,1458
2022/09/19,台南市,2659
2022/09/20,台南市,2462
2022/09/21,台南市,2316
2022/09/22,台南市,2324
2022/09/23,台南市,2140
2022/09/24,台南市,2331
2022/09/25,台南市,1673
2022/09/26,台南市,2926
2022/09/27,台南市,2822
2022/09/28,台南市,2789
2022/09/29,台南市,2686
2022/09/30,台南市,2719
2022/10/01,台南市,2885
2022/10/02,台南市,2067
2022/10/03,台南市,3582
2022/10/04,台南市,3466
2022/10/05,台南市,3290
2022/10/06,台南市,3396
2022/10/07,台南市,3117
2022/10/08,台南市,3143
2022/10/09,台南市,2208
2022/10/10,台南市,3037
2022/10/11,台南市,4025
2022/10/12,台南市,4081
2022/10/13,台南市,3620
2022/10/14,台南市,3292
2022/10/15,台南市,3354
2022/10/16,台南市,2213
2022/10/17,台南市,3791
2022/10/18,台南市,3587
2022/10/19,台南市,3310
2022/10/20,台南市,2979
2022/10/21,台南市,2972
2022/10/22,台南市,2834
2022/10/23,台南市,2100
2022/10/24,台南市,3540
2022/10/25,台南市,3439
2022/10/26,台南市,3024
2022/10/27,台南市,3093
2022/10/28,台南市,2712
2022/10/29,台南市,2863
2022/10/30,台南市,1845
2022/10/31,台南市,3254
2022/11/01,台南市,2855
2022/11/02,台南市,2686
2022/11/03,台南市,2416
2022/11/04,台南市,2379
2022/11/05,台南市,2309
2022/11/06,台南市,1483
2022/11/07,台南市,2483
2022/11/08,台南市,2391
2022/11/09,台南市,2198
2022/11/10,台南市,1949
2022/11/11,台南市,1915
2022/11/12,台南市,1775
2022/11/13,台南市,1606
2022/11/14,台南市,1872
2022/11/15,台南市,2024
2022/11/16,台南市,1879
2022/11/17,台南市,1686
2022/11/18,台南市,1584
2022/11/19,台南市,1530
2022/11/20,台南市,1103
2022/11/21,台南市,1707
2022/11/22,台南市,1605
2022/11/23,台南市,1402
2022/11/24,台南市,1240
2022/11/25,台南市,1219
2022/11/26,台南市,1142
2022/11/27,台南市,858
2022/11/28,台南市,1504
2022/11/29,台南市,1388
2022/11/30,台南市,1222
2022/12/01,台南市,1051
2022/12/02,台南市,974
2022/12/03,台南市,1026
2022/12/04,台南市,705
2022/12/05,台南市,1259
2022/12/06,台南市,1169
2022/12/07,台南市,1127
2022/12/08,台南市,1097
2022/12/09,台南市,1035
2022/12/10,台南市,1043
2022/12/11,台南市,851
2022/12/12,台南市,1519
2022/12/13,台南市,1323
2022/12/14,台南市,1230
2022/12/15,台南市,1166
2022/12/16,台南市,1185
2022/12/17,台南市,1120
2022/12/18,台南市,738
2022/12/19,台南市,1337
2022/12/20,台南市,1333
2022/12/21,台南市,1554
2022/12/22,台南市,1543
2022/12/23,台南市,1402
2022/12/24,台南市,1373
2022/12/25,台南市,1116
2022/12/26,台南市,2083
2022/12/27,台南市,2266
2022/12/28,台南市,2135
2022/12/29,台南市,2140
2022/12/30,台南市,1988
2022/12/31,台南市,1997
2023/01/01,台南市,1319
2023/01/02,台南市,2108
2023/01/03,台南市,2820
2023/01/04,台南市,2579
2023/01/05,台南市,2168
2023/01/06,台南市,1930
2023/01/07,台南市,1996
2023/01/08,台南市,1309
2023/01/09,台南市,1947
2023/01/10,台南市,1971
2023/01/11,台南市,1764
2023/01/12,台南市,1586
2023/01/13,台南市,1592
2023/01/14,台南市,1624
2023/01/15,台南市,1237
2023/01/16,台南市,1662
2023/01/17,台南市,1714
2023/01/18,台南市,1495
2023/01/19,台南市,1524
2023/01/20,台南市,1694
2023/01/21,台南市,1532
2023/01/22,台南市,846
2023/01/23,台南市,1205
2023/01/24,台南市,1323
2023/01/25,台南市,1580
2023/01/26,台南市,1918
2023/01/27,台南市,2081
2023/01/28,台南市,2185
2023/01/29,台南市,1586
2023/01/30,台南市,2913
2023/01/31,台南市,2474
2023/02/01,台南市,2207
2023/02/02,台南市,2066
2023/02/03,台南市,1841
2023/02/04,台南市,1743
2023/02/05,台南市,1223
2023/02/06,台南市,1969
2023/02/07,台南市,1857
2023/02/08,台南市,1728
2023/02/09,台南市,1577
2023/02/10,台南市,1440
2023/02/11,台南市,1507
2023/02/12,台南市,1003
2023/02/13,台南市,1770
2023/02/14,台南市,1573
2023/02/15,台南市,1391
2023/02/16,台南市,1271
2023/02/17,台南市,1338
2023/02/18,台南市,1393
2023/02/19,台南市,1020
2023/02/20,台南市,1677
2023/02/21,台南市,1388
2023/02/22,台南市,1246
2023/02/23,台南市,1134
2023/02/24,台南市,1083
2023/02/25,台南市,1123
2023/02/26,台南市,624
2023/02/27,台南市,928
2023/02/28,台南市,1054
2023/03/01,台南市,1201
2023/03/02,台南市,1161
2023/03/03,台南市,1028
2023/03/04,台南市,897
2023/03/05,台南市,568
2023/03/06,台南市,1066
2023/03/07,台南市,996
2023/03/08,台南市,864
2023/03/09,台南市,797
2023/03/10,台南市,786
2023/03/11,台南市,729
2023/03/12,台南市,478
2023/03/13,台南市,849
2023/03/14,台南市,790
2023/03/15,台南市,784
2023/03/16,台南市,657
2023/03/17,台南市,647
2023/03/18,台南市,703
2023/03/19,台南市,406
2023/03/20,台南市,224
2023/03/21,台南市,21
2023/03/22,台南市,2
2023/03/23,台南市,1
