個案研判日,縣市,確定病例數
2021/05/23,嘉義縣,1
2021/05/29,嘉義縣,4
2021/05/30,嘉義縣,3
2021/06/01,嘉義縣,4
2021/06/04,嘉義縣,1
2021/06/05,嘉義縣,3
2021/06/07,嘉義縣,1
2021/06/15,嘉義縣,1
2021/07/29,嘉義縣,9
2021/07/30,嘉義縣,1
2021/08/02,嘉義縣,2
2021/08/05,嘉義縣,2
2022/03/19,嘉義縣,3
2022/03/20,嘉義縣,1
2022/03/21,嘉義縣,1
2022/03/22,嘉義縣,1
2022/04/05,嘉義縣,2
2022/04/06,嘉義縣,7
2022/04/07,嘉義縣,1
2022/04/08,嘉義縣,7
2022/04/09,嘉義縣,3
2022/04/10,嘉義縣,5
2022/04/11,嘉義縣,4
2022/04/12,嘉義縣,3
2022/04/13,嘉義縣,1
2022/04/14,嘉義縣,3
2022/04/15,嘉義縣,1
2022/04/16,嘉義縣,1
2022/04/17,嘉義縣,10
2022/04/18,嘉義縣,3
2022/04/20,嘉義縣,4
2022/04/21,嘉義縣,5
2022/04/22,嘉義縣,7
2022/04/23,嘉義縣,13
2022/04/24,嘉義縣,13
2022/04/25,嘉義縣,28
2022/04/26,嘉義縣,24
2022/04/27,嘉義縣,28
2022/04/28,嘉義縣,25
2022/04/29,嘉義縣,79
2022/04/30,嘉義縣,44
2022/05/01,嘉義縣,78
2022/05/02,嘉義縣,89
2022/05/03,嘉義縣,138
2022/05/04,嘉義縣,122
2022/05/05,嘉義縣,137
2022/05/06,嘉義縣,189
2022/05/07,嘉義縣,211
2022/05/08,嘉義縣,177
2022/05/09,嘉義縣,171
2022/05/10,嘉義縣,323
2022/05/11,嘉義縣,353
2022/05/12,嘉義縣,297
2022/05/13,嘉義縣,391
2022/05/14,嘉義縣,382
2022/05/15,嘉義縣,395
2022/05/16,嘉義縣,537
2022/05/17,嘉義縣,602
2022/05/18,嘉義縣,628
2022/05/19,嘉義縣,672
2022/05/20,嘉義縣,765
2022/05/21,嘉義縣,730
2022/05/22,嘉義縣,575
2022/05/23,嘉義縣,883
2022/05/24,嘉義縣,1036
2022/05/25,嘉義縣,929
2022/05/26,嘉義縣,1012
