個案研判日,縣市,確定病例數
2020/01/28,彰化縣,1
2020/02/16,彰化縣,2
2020/02/18,彰化縣,1
2021/05/15,彰化縣,6
2021/05/16,彰化縣,9
2021/05/17,彰化縣,5
2021/05/18,彰化縣,10
2021/05/19,彰化縣,28
2021/05/20,彰化縣,6
2021/05/21,彰化縣,5
2021/05/22,彰化縣,4
2021/05/23,彰化縣,11
2021/05/24,彰化縣,12
2021/05/25,彰化縣,12
2021/05/26,彰化縣,2
2021/05/27,彰化縣,13
2021/05/28,彰化縣,9
2021/05/29,彰化縣,2
2021/05/30,彰化縣,9
2021/05/31,彰化縣,10
2021/06/01,彰化縣,12
2021/06/02,彰化縣,10
2021/06/03,彰化縣,15
2021/06/04,彰化縣,6
2021/06/05,彰化縣,11
2021/06/06,彰化縣,3
2021/06/07,彰化縣,8
2021/06/08,彰化縣,2
2021/06/09,彰化縣,3
2021/06/10,彰化縣,10
2021/06/11,彰化縣,7
2021/06/12,彰化縣,2
2021/06/13,彰化縣,4
2021/06/14,彰化縣,3
2021/06/15,彰化縣,1
2021/06/20,彰化縣,1
2021/06/21,彰化縣,1
2021/06/22,彰化縣,1
2021/06/23,彰化縣,1
2021/06/25,彰化縣,2
2021/06/26,彰化縣,1
2021/06/28,彰化縣,1
2021/06/29,彰化縣,2
2021/07/04,彰化縣,3
2021/07/06,彰化縣,1
2021/07/11,彰化縣,1
2021/07/16,彰化縣,1
2021/07/23,彰化縣,2
2021/08/05,彰化縣,1
2021/08/19,彰化縣,1
2022/02/09,彰化縣,1
2022/03/02,彰化縣,2
2022/03/28,彰化縣,2
2022/03/31,彰化縣,4
2022/04/01,彰化縣,3
2022/04/04,彰化縣,2
2022/04/05,彰化縣,3
2022/04/06,彰化縣,1
2022/04/07,彰化縣,1
2022/04/08,彰化縣,3
2022/04/10,彰化縣,3
2022/04/11,彰化縣,3
2022/04/12,彰化縣,7
2022/04/13,彰化縣,2
2022/04/14,彰化縣,4
2022/04/15,彰化縣,16
2022/04/16,彰化縣,7
2022/04/17,彰化縣,4
2022/04/18,彰化縣,8
2022/04/19,彰化縣,17
2022/04/20,彰化縣,35
2022/04/21,彰化縣,50
2022/04/22,彰化縣,32
2022/04/23,彰化縣,48
2022/04/24,彰化縣,50
2022/04/25,彰化縣,81
2022/04/26,彰化縣,89
2022/04/27,彰化縣,88
2022/04/28,彰化縣,179
2022/04/29,彰化縣,137
2022/04/30,彰化縣,198
2022/05/01,彰化縣,195
2022/05/02,彰化縣,198
2022/05/03,彰化縣,297
2022/05/04,彰化縣,343
2022/05/05,彰化縣,396
2022/05/06,彰化縣,470
2022/05/07,彰化縣,496
2022/05/08,彰化縣,473
2022/05/09,彰化縣,566
2022/05/10,彰化縣,995
2022/05/11,彰化縣,936
2022/05/12,彰化縣,1104
2022/05/13,彰化縣,1061
2022/05/14,彰化縣,1328
2022/05/15,彰化縣,1314
2022/05/16,彰化縣,1561
2022/05/17,彰化縣,1881
2022/05/18,彰化縣,2192
2022/05/19,彰化縣,2190
2022/05/20,彰化縣,2771
2022/05/21,彰化縣,2314
2022/05/22,彰化縣,1998
2022/05/23,彰化縣,4025
2022/05/24,彰化縣,3383
2022/05/25,彰化縣,3187
2022/05/26,彰化縣,4101
2022/05/27,彰化縣,3491
2022/05/28,彰化縣,3817
2022/05/29,彰化縣,3104
2022/05/30,彰化縣,4607
2022/05/31,彰化縣,4792
2022/06/01,彰化縣,4478
2022/06/02,彰化縣,4446
2022/06/03,彰化縣,4376
2022/06/04,彰化縣,4139
2022/06/05,彰化縣,3670
2022/06/06,彰化縣,5602
2022/06/07,彰化縣,5381
2022/06/08,彰化縣,5097
2022/06/09,彰化縣,4947
2022/06/10,彰化縣,3971
2022/06/11,彰化縣,6216
2022/06/12,彰化縣,3490
2022/06/13,彰化縣,5053
2022/06/14,彰化縣,5448
2022/06/15,彰化縣,5043
2022/06/16,彰化縣,4204
2022/06/17,彰化縣,4151
2022/06/18,彰化縣,3683
2022/06/19,彰化縣,2920
2022/06/20,彰化縣,4512
2022/06/21,彰化縣,3815
2022/06/22,彰化縣,3520
2022/06/23,彰化縣,3245
2022/06/24,彰化縣,2995
2022/06/25,彰化縣,2709
2022/06/26,彰化縣,1986
2022/06/27,彰化縣,3323
2022/06/28,彰化縣,2698
2022/06/29,彰化縣,2525
2022/06/30,彰化縣,2330
2022/07/01,彰化縣,2152
2022/07/02,彰化縣,1980
2022/07/03,彰化縣,1296
2022/07/04,彰化縣,2252
2022/07/05,彰化縣,1807
2022/07/06,彰化縣,1770
2022/07/07,彰化縣,1649
2022/07/08,彰化縣,1514
2022/07/09,彰化縣,1377
2022/07/10,彰化縣,1070
2022/07/11,彰化縣,1602
2022/07/12,彰化縣,1433
2022/07/13,彰化縣,1364
2022/07/14,彰化縣,1243
2022/07/15,彰化縣,1208
2022/07/16,彰化縣,1155
2022/07/17,彰化縣,859
2022/07/18,彰化縣,1236
2022/07/19,彰化縣,1190
2022/07/20,彰化縣,1105
2022/07/21,彰化縣,1032
2022/07/22,彰化縣,1032
2022/07/23,彰化縣,968
2022/07/24,彰化縣,794
2022/07/25,彰化縣,1211
2022/07/26,彰化縣,1160
2022/07/27,彰化縣,1066
2022/07/28,彰化縣,1088
2022/07/29,彰化縣,1031
2022/07/30,彰化縣,979
2022/07/31,彰化縣,710
2022/08/01,彰化縣,1139
2022/08/02,彰化縣,936
2022/08/03,彰化縣,1036
2022/08/04,彰化縣,919
2022/08/05,彰化縣,817
2022/08/06,彰化縣,958
2022/08/07,彰化縣,681
2022/08/08,彰化縣,1083
2022/08/09,彰化縣,999
2022/08/10,彰化縣,905
2022/08/11,彰化縣,958
2022/08/12,彰化縣,920
2022/08/13,彰化縣,849
2022/08/14,彰化縣,680
2022/08/15,彰化縣,1084
2022/08/16,彰化縣,922
2022/08/17,彰化縣,901
2022/08/18,彰化縣,894
2022/08/19,彰化縣,908
2022/08/20,彰化縣,787
2022/08/21,彰化縣,650
2022/08/22,彰化縣,1050
2022/08/23,彰化縣,1043
2022/08/24,彰化縣,1027
2022/08/25,彰化縣,1045
2022/08/26,彰化縣,931
2022/08/27,彰化縣,1068
2022/08/28,彰化縣,803
2022/08/29,彰化縣,1271
2022/08/30,彰化縣,1335
2022/08/31,彰化縣,1437
2022/09/01,彰化縣,1361
2022/09/02,彰化縣,1240
2022/09/03,彰化縣,1342
2022/09/04,彰化縣,943
2022/09/05,彰化縣,1451
2022/09/06,彰化縣,1470
2022/09/07,彰化縣,1331
2022/09/08,彰化縣,1316
2022/09/09,彰化縣,1533
2022/09/10,彰化縣,1413
2022/09/11,彰化縣,1273
2022/09/12,彰化縣,2083
2022/09/13,彰化縣,2048
2022/09/14,彰化縣,1972
2022/09/15,彰化縣,1791
2022/09/16,彰化縣,1668
2022/09/17,彰化縣,1744
2022/09/18,彰化縣,1431
2022/09/19,彰化縣,2159
2022/09/20,彰化縣,2032
2022/09/21,彰化縣,1952
2022/09/22,彰化縣,1920
2022/09/23,彰化縣,1850
2022/09/24,彰化縣,1949
2022/09/25,彰化縣,1510
2022/09/26,彰化縣,2276
2022/09/27,彰化縣,2181
2022/09/28,彰化縣,2217
2022/09/29,彰化縣,2169
2022/09/30,彰化縣,2178
2022/10/01,彰化縣,2265
2022/10/02,彰化縣,1683
2022/10/03,彰化縣,2575
2022/10/04,彰化縣,2669
2022/10/05,彰化縣,2300
2022/10/06,彰化縣,2681
2022/10/07,彰化縣,2244
2022/10/08,彰化縣,2300
2022/10/09,彰化縣,1675
2022/10/10,彰化縣,2468
2022/10/11,彰化縣,2736
2022/10/12,彰化縣,2483
2022/10/13,彰化縣,2407
2022/10/14,彰化縣,2223
2022/10/15,彰化縣,2060
2022/10/16,彰化縣,1554
2022/10/17,彰化縣,2492
2022/10/18,彰化縣,2278
2022/10/19,彰化縣,2119
2022/10/20,彰化縣,1926
2022/10/21,彰化縣,1883
2022/10/22,彰化縣,1860
2022/10/23,彰化縣,1420
2022/10/24,彰化縣,2171
2022/10/25,彰化縣,2023
2022/10/26,彰化縣,1825
2022/10/27,彰化縣,1765
2022/10/28,彰化縣,1773
2022/10/29,彰化縣,1554
2022/10/30,彰化縣,1213
2022/10/31,彰化縣,1873
2022/11/01,彰化縣,1587
2022/11/02,彰化縣,1357
2022/11/03,彰化縣,1310
2022/11/04,彰化縣,1164
2022/11/05,彰化縣,1104
2022/11/06,彰化縣,790
2022/11/07,彰化縣,1225
2022/11/08,彰化縣,1084
2022/11/09,彰化縣,1049
2022/11/10,彰化縣,1077
2022/11/11,彰化縣,910
2022/11/12,彰化縣,897
2022/11/13,彰化縣,847
2022/11/14,彰化縣,931
2022/11/15,彰化縣,1043
2022/11/16,彰化縣,931
2022/11/17,彰化縣,930
2022/11/18,彰化縣,760
2022/11/19,彰化縣,789
2022/11/20,彰化縣,619
2022/11/21,彰化縣,926
2022/11/22,彰化縣,847
2022/11/23,彰化縣,844
2022/11/24,彰化縣,781
2022/11/25,彰化縣,669
2022/11/26,彰化縣,751
2022/11/27,彰化縣,647
2022/11/28,彰化縣,980
2022/11/29,彰化縣,895
2022/11/30,彰化縣,907
2022/12/01,彰化縣,783
2022/12/02,彰化縣,780
2022/12/03,彰化縣,659
2022/12/04,彰化縣,649
2022/12/05,彰化縣,977
2022/12/06,彰化縣,908
