個案研判日,縣市,確定病例數
2020/02/20,新北市,1
2020/02/21,新北市,2
2020/02/23,新北市,2
2020/02/24,新北市,2
2020/02/25,新北市,1
2020/02/26,新北市,1
2020/03/05,新北市,1
2020/03/18,新北市,1
2020/03/19,新北市,1
2020/03/22,新北市,1
2020/03/23,新北市,1
2020/03/28,新北市,1
2020/03/31,新北市,1
2020/04/02,新北市,1
2020/04/12,新北市,1
2021/04/29,新北市,1
2021/04/30,新北市,1
2021/05/02,新北市,3
2021/05/03,新北市,1
2021/05/10,新北市,2
2021/05/11,新北市,1
2021/05/12,新北市,11
2021/05/13,新北市,7
2021/05/14,新北市,16
2021/05/15,新北市,79
2021/05/16,新北市,92
2021/05/17,新北市,148
2021/05/18,新北市,104
2021/05/19,新北市,130
2021/05/20,新北市,161
2021/05/21,新北市,147
2021/05/22,新北市,385
2021/05/23,新北市,207
2021/05/24,新北市,280
2021/05/25,新北市,249
2021/05/26,新北市,251
2021/05/27,新北市,327
2021/05/28,新北市,270
2021/05/29,新北市,218
2021/05/30,新北市,198
2021/05/31,新北市,172
2021/06/01,新北市,162
2021/06/02,新北市,314
2021/06/03,新北市,263
2021/06/04,新北市,231
2021/06/05,新北市,225
2021/06/06,新北市,140
2021/06/07,新北市,81
2021/06/08,新北市,123
2021/06/09,新北市,162
2021/06/10,新北市,110
2021/06/11,新北市,119
2021/06/12,新北市,132
2021/06/13,新北市,80
2021/06/14,新北市,98
2021/06/15,新北市,63
2021/06/16,新北市,65
2021/06/17,新北市,84
2021/06/18,新北市,75
2021/06/19,新北市,82
2021/06/20,新北市,44
2021/06/21,新北市,38
2021/06/22,新北市,44
2021/06/23,新北市,45
2021/06/24,新北市,53
2021/06/25,新北市,33
2021/06/26,新北市,36
2021/06/27,新北市,40
2021/06/28,新北市,32
2021/06/29,新北市,22
2021/06/30,新北市,25
2021/07/01,新北市,20
2021/07/02,新北市,15
2021/07/03,新北市,24
2021/07/04,新北市,11
2021/07/05,新北市,6
2021/07/06,新北市,12
2021/07/07,新北市,14
2021/07/08,新北市,6
2021/07/09,新北市,11
2021/07/10,新北市,14
2021/07/11,新北市,12
2021/07/12,新北市,10
2021/07/13,新北市,17
2021/07/14,新北市,2
2021/07/15,新北市,2
2021/07/16,新北市,12
2021/07/17,新北市,5
2021/07/18,新北市,7
2021/07/19,新北市,11
2021/07/20,新北市,6
2021/07/21,新北市,13
2021/07/22,新北市,13
2021/07/23,新北市,9
2021/07/24,新北市,5
2021/07/25,新北市,3
2021/07/26,新北市,5
2021/07/27,新北市,8
2021/07/28,新北市,6
2021/07/29,新北市,4
2021/07/30,新北市,6
2021/07/31,新北市,6
2021/08/01,新北市,3
2021/08/02,新北市,10
2021/08/03,新北市,14
2021/08/04,新北市,4
2021/08/05,新北市,4
2021/08/06,新北市,4
2021/08/07,新北市,1
2021/08/08,新北市,1
2021/08/09,新北市,3
2021/08/10,新北市,6
2021/08/11,新北市,1
2021/08/13,新北市,2
2021/08/14,新北市,1
2021/08/15,新北市,6
2021/08/16,新北市,2
2021/08/17,新北市,2
2021/08/18,新北市,1
2021/08/19,新北市,3
2021/08/20,新北市,2
2021/08/21,新北市,1
2021/08/22,新北市,4
2021/08/23,新北市,1
2021/08/25,新北市,1
2021/08/28,新北市,11
2021/08/29,新北市,3
2021/08/30,新北市,2
2021/09/02,新北市,1
2021/09/04,新北市,2
2021/09/05,新北市,9
2021/09/06,新北市,7
2021/09/07,新北市,7
2021/09/08,新北市,2
2021/09/09,新北市,1
