個案研判日,縣市,確定病例數
2020/03/24,新竹市,1
2020/04/03,新竹市,1
2020/04/06,新竹市,1
2021/05/18,新竹市,1
2021/05/19,新竹市,2
2021/05/22,新竹市,3
2021/05/23,新竹市,2
2021/05/25,新竹市,4
2021/05/27,新竹市,1
2021/05/28,新竹市,1
2021/05/29,新竹市,1
2021/05/30,新竹市,1
2021/05/31,新竹市,2
2021/06/02,新竹市,1
2021/06/03,新竹市,1
2021/06/04,新竹市,1
2021/06/05,新竹市,1
2021/06/07,新竹市,3
2021/06/08,新竹市,1
2021/06/10,新竹市,1
2021/06/11,新竹市,3
2021/06/12,新竹市,2
2021/06/19,新竹市,2
2021/06/27,新竹市,1
2021/07/01,新竹市,1
2021/07/02,新竹市,1
2021/07/03,新竹市,1
2021/07/12,新竹市,1
2021/07/21,新竹市,1
2022/01/18,新竹市,5
2022/01/23,新竹市,1
2022/03/27,新竹市,2
2022/03/29,新竹市,1
2022/03/30,新竹市,2
2022/04/01,新竹市,1
2022/04/02,新竹市,2
2022/04/03,新竹市,2
2022/04/04,新竹市,7
2022/04/05,新竹市,8
2022/04/06,新竹市,4
2022/04/07,新竹市,5
2022/04/08,新竹市,3
2022/04/09,新竹市,6
2022/04/10,新竹市,10
2022/04/11,新竹市,6
2022/04/12,新竹市,15
2022/04/13,新竹市,9
2022/04/14,新竹市,15
2022/04/15,新竹市,15
2022/04/16,新竹市,9
2022/04/17,新竹市,15
2022/04/18,新竹市,23
2022/04/19,新竹市,21
2022/04/20,新竹市,24
2022/04/21,新竹市,25
2022/04/22,新竹市,36
2022/04/23,新竹市,44
2022/04/24,新竹市,43
2022/04/25,新竹市,62
2022/04/26,新竹市,82
2022/04/27,新竹市,105
2022/04/28,新竹市,100
2022/04/29,新竹市,117
2022/04/30,新竹市,148
2022/05/01,新竹市,73
2022/05/02,新竹市,156
2022/05/03,新竹市,181
2022/05/04,新竹市,199
2022/05/05,新竹市,352
2022/05/06,新竹市,473
2022/05/07,新竹市,512
2022/05/08,新竹市,331
2022/05/09,新竹市,533
2022/05/10,新竹市,1096
2022/05/11,新竹市,816
2022/05/12,新竹市,579
2022/05/13,新竹市,1263
2022/05/14,新竹市,1368
2022/05/15,新竹市,851
2022/05/16,新竹市,1142
2022/05/17,新竹市,1296
2022/05/18,新竹市,1893
2022/05/19,新竹市,1697
2022/05/20,新竹市,1554
2022/05/21,新竹市,1626
2022/05/22,新竹市,1296
2022/05/23,新竹市,1626
2022/05/24,新竹市,1787
2022/05/25,新竹市,1685
2022/05/26,新竹市,2184
2022/05/27,新竹市,1762
2022/05/28,新竹市,1697
2022/05/29,新竹市,1134
2022/05/30,新竹市,1761
2022/05/31,新竹市,2026
2022/06/01,新竹市,1624
2022/06/02,新竹市,1661
2022/06/03,新竹市,1574
2022/06/04,新竹市,1294
2022/06/05,新竹市,1050
2022/06/06,新竹市,1556
2022/06/07,新竹市,1860
2022/06/08,新竹市,1603
2022/06/09,新竹市,1335
2022/06/10,新竹市,989
2022/06/11,新竹市,1666
2022/06/12,新竹市,833
2022/06/13,新竹市,1219
2022/06/14,新竹市,1289
2022/06/15,新竹市,1301
2022/06/16,新竹市,1022
2022/06/17,新竹市,913
2022/06/18,新竹市,1020
2022/06/19,新竹市,669
2022/06/20,新竹市,932
2022/06/21,新竹市,1106
2022/06/22,新竹市,954
2022/06/23,新竹市,867
2022/06/24,新竹市,801
2022/06/25,新竹市,850
2022/06/26,新竹市,590
2022/06/27,新竹市,788
2022/06/28,新竹市,891
2022/06/29,新竹市,786
2022/06/30,新竹市,707
2022/07/01,新竹市,750
2022/07/02,新竹市,774
2022/07/03,新竹市,488
2022/07/04,新竹市,656
2022/07/05,新竹市,753
2022/07/06,新竹市,581
2022/07/07,新竹市,664
2022/07/08,新竹市,545
2022/07/09,新竹市,646
2022/07/10,新竹市,398
2022/07/11,新竹市,515
2022/07/12,新竹市,677
2022/07/13,新竹市,633
2022/07/14,新竹市,561
2022/07/15,新竹市,497
2022/07/16,新竹市,605
2022/07/17,新竹市,395
2022/07/18,新竹市,557
2022/07/19,新竹市,644
2022/07/20,新竹市,591
2022/07/21,新竹市,569
2022/07/22,新竹市,553
2022/07/23,新竹市,517
2022/07/24,新竹市,330
2022/07/25,新竹市,490
2022/07/26,新竹市,608
2022/07/27,新竹市,563
2022/07/28,新竹市,556
2022/07/29,新竹市,571
2022/07/30,新竹市,518
2022/07/31,新竹市,381
2022/08/01,新竹市,481
2022/08/02,新竹市,644
2022/08/03,新竹市,576
2022/08/04,新竹市,519
2022/08/05,新竹市,449
2022/08/06,新竹市,557
2022/08/07,新竹市,335
2022/08/08,新竹市,520
2022/08/09,新竹市,628
2022/08/10,新竹市,569
2022/08/11,新竹市,485
2022/08/12,新竹市,525
2022/08/13,新竹市,536
2022/08/14,新竹市,369
2022/08/15,新竹市,567
2022/08/16,新竹市,739
2022/08/17,新竹市,629
2022/08/18,新竹市,619
2022/08/19,新竹市,622
2022/08/20,新竹市,665
2022/08/21,新竹市,478
2022/08/22,新竹市,667
2022/08/23,新竹市,892
2022/08/24,新竹市,724
2022/08/25,新竹市,788
2022/08/26,新竹市,748
2022/08/27,新竹市,837
2022/08/28,新竹市,636
2022/08/29,新竹市,681
2022/08/30,新竹市,1063
2022/08/31,新竹市,990
2022/09/01,新竹市,944
2022/09/02,新竹市,986
2022/09/03,新竹市,1065
2022/09/04,新竹市,629
2022/09/05,新竹市,921
2022/09/06,新竹市,1264
2022/09/07,新竹市,911
2022/09/08,新竹市,943
2022/09/09,新竹市,842
2022/09/10,新竹市,834
2022/09/11,新竹市,644
2022/09/12,新竹市,971
2022/09/13,新竹市,1378
2022/09/14,新竹市,1215
2022/09/15,新竹市,995
2022/09/16,新竹市,971
2022/09/17,新竹市,1070
2022/09/18,新竹市,699
2022/09/19,新竹市,941
2022/09/20,新竹市,1244
2022/09/21,新竹市,1090
2022/09/22,新竹市,952
2022/09/23,新竹市,986
2022/09/24,新竹市,1048
2022/09/25,新竹市,664
2022/09/26,新竹市,1049
2022/09/27,新竹市,1242
2022/09/28,新竹市,1132
2022/09/29,新竹市,1081
2022/09/30,新竹市,995
2022/10/01,新竹市,1090
2022/10/02,新竹市,765
2022/10/03,新竹市,989
2022/10/04,新竹市,1307
2022/10/05,新竹市,918
2022/10/06,新竹市,1019
2022/10/07,新竹市,982
2022/10/08,新竹市,1084
2022/10/09,新竹市,719
2022/10/10,新竹市,810
2022/10/11,新竹市,964
