個案研判日,縣市,確定病例數
2020/02/28,桃園市,1
2020/02/29,桃園市,4
2020/03/02,桃園市,1
2020/03/03,桃園市,1
2020/03/06,桃園市,1
2020/03/10,桃園市,1
2020/03/22,桃園市,1
2020/03/28,桃園市,1
2020/03/30,桃園市,1
2020/04/04,桃園市,1
2020/04/08,桃園市,1
2020/12/22,桃園市,1
2021/01/12,桃園市,2
2021/01/16,桃園市,1
2021/01/17,桃園市,1
2021/01/18,桃園市,1
2021/01/19,桃園市,4
2021/01/20,桃園市,1
2021/01/22,桃園市,2
2021/01/23,桃園市,1
2021/01/24,桃園市,2
2021/01/30,桃園市,4
2021/02/05,桃園市,1
2021/02/09,桃園市,1
2021/04/23,桃園市,1
2021/04/27,桃園市,1
2021/04/28,桃園市,3
2021/04/30,桃園市,2
2021/05/03,桃園市,1
2021/05/06,桃園市,1
2021/05/10,桃園市,1
2021/05/13,桃園市,4
2021/05/14,桃園市,3
2021/05/15,桃園市,4
2021/05/16,桃園市,3
2021/05/17,桃園市,10
2021/05/18,桃園市,12
2021/05/19,桃園市,15
2021/05/20,桃園市,17
2021/05/21,桃園市,11
2021/05/22,桃園市,23
2021/05/23,桃園市,24
2021/05/24,桃園市,22
2021/05/25,桃園市,23
2021/05/26,桃園市,25
2021/05/27,桃園市,23
2021/05/28,桃園市,22
2021/05/29,桃園市,18
2021/05/30,桃園市,24
2021/05/31,桃園市,27
2021/06/01,桃園市,24
2021/06/02,桃園市,28
2021/06/03,桃園市,29
2021/06/04,桃園市,12
2021/06/05,桃園市,18
2021/06/06,桃園市,16
2021/06/07,桃園市,5
2021/06/08,桃園市,13
2021/06/09,桃園市,15
2021/06/10,桃園市,14
2021/06/11,桃園市,20
2021/06/12,桃園市,10
2021/06/13,桃園市,16
2021/06/14,桃園市,10
2021/06/15,桃園市,12
2021/06/16,桃園市,13
2021/06/17,桃園市,7
2021/06/18,桃園市,6
2021/06/19,桃園市,8
2021/06/20,桃園市,16
2021/06/21,桃園市,5
2021/06/22,桃園市,1
2021/06/23,桃園市,7
2021/06/24,桃園市,8
2021/06/25,桃園市,10
2021/06/26,桃園市,3
2021/06/27,桃園市,4
2021/06/28,桃園市,1
2021/06/29,桃園市,4
2021/06/30,桃園市,5
2021/07/01,桃園市,5
2021/07/02,桃園市,3
2021/07/03,桃園市,3
2021/07/04,桃園市,3
2021/07/05,桃園市,3
2021/07/07,桃園市,11
2021/07/09,桃園市,1
2021/07/10,桃園市,4
2021/07/11,桃園市,2
2021/07/12,桃園市,1
2021/07/13,桃園市,2
2021/07/14,桃園市,3
2021/07/15,桃園市,3
2021/07/16,桃園市,2
2021/07/17,桃園市,1
2021/07/18,桃園市,3
2021/07/19,桃園市,3
2021/07/20,桃園市,2
2021/07/21,桃園市,11
2021/07/22,桃園市,4
2021/07/23,桃園市,3
2021/07/25,桃園市,3
2021/07/26,桃園市,6
2021/07/27,桃園市,3
2021/07/28,桃園市,1
2021/07/31,桃園市,1
2021/08/01,桃園市,5
2021/08/03,桃園市,1
2021/08/04,桃園市,1
2021/08/06,桃園市,1
