個案研判日,縣市,確定病例數
2021/05/22,花蓮縣,3
2021/05/23,花蓮縣,1
2021/05/25,花蓮縣,1
2021/05/26,花蓮縣,1
2021/05/27,花蓮縣,6
2021/05/28,花蓮縣,9
2021/05/29,花蓮縣,4
2021/05/30,花蓮縣,6
2021/05/31,花蓮縣,1
2021/06/01,花蓮縣,3
2021/06/02,花蓮縣,1
2021/06/03,花蓮縣,1
2021/06/04,花蓮縣,1
2021/06/10,花蓮縣,7
2021/06/11,花蓮縣,2
2021/06/12,花蓮縣,3
2021/06/13,花蓮縣,1
2021/06/14,花蓮縣,4
2021/06/15,花蓮縣,2
2021/06/16,花蓮縣,8
2021/06/17,花蓮縣,2
2021/06/18,花蓮縣,1
2022/03/31,花蓮縣,4
2022/04/01,花蓮縣,4
2022/04/02,花蓮縣,2
2022/04/03,花蓮縣,2
2022/04/04,花蓮縣,11
2022/04/05,花蓮縣,5
2022/04/06,花蓮縣,19
2022/04/07,花蓮縣,25
2022/04/08,花蓮縣,20
2022/04/09,花蓮縣,13
2022/04/10,花蓮縣,24
2022/04/11,花蓮縣,28
2022/04/12,花蓮縣,44
2022/04/13,花蓮縣,54
2022/04/14,花蓮縣,143
2022/04/15,花蓮縣,56
2022/04/16,花蓮縣,121
2022/04/17,花蓮縣,57
2022/04/18,花蓮縣,73
2022/04/19,花蓮縣,88
2022/04/20,花蓮縣,90
2022/04/21,花蓮縣,100
2022/04/22,花蓮縣,129
2022/04/23,花蓮縣,171
2022/04/24,花蓮縣,162
2022/04/25,花蓮縣,215
2022/04/26,花蓮縣,248
2022/04/27,花蓮縣,308
2022/04/28,花蓮縣,278
2022/04/29,花蓮縣,334
2022/04/30,花蓮縣,276
2022/05/01,花蓮縣,394
2022/05/02,花蓮縣,422
2022/05/03,花蓮縣,434
2022/05/04,花蓮縣,559
2022/05/05,花蓮縣,379
2022/05/06,花蓮縣,795
2022/05/07,花蓮縣,574
2022/05/08,花蓮縣,719
2022/05/09,花蓮縣,570
2022/05/10,花蓮縣,1035
2022/05/11,花蓮縣,1171
2022/05/12,花蓮縣,962
2022/05/13,花蓮縣,827
2022/05/14,花蓮縣,987
2022/05/15,花蓮縣,761
2022/05/16,花蓮縣,1136
2022/05/17,花蓮縣,1292
2022/05/18,花蓮縣,1265
2022/05/19,花蓮縣,1139
2022/05/20,花蓮縣,1234
2022/05/21,花蓮縣,1115
2022/05/22,花蓮縣,1067
2022/05/23,花蓮縣,1389
2022/05/24,花蓮縣,1590
2022/05/25,花蓮縣,1301
2022/05/26,花蓮縣,1393
2022/05/27,花蓮縣,1319
2022/05/28,花蓮縣,1141
2022/05/29,花蓮縣,937
2022/05/30,花蓮縣,1278
2022/05/31,花蓮縣,1487
2022/06/01,花蓮縣,1240
2022/06/02,花蓮縣,1249
2022/06/03,花蓮縣,1001
2022/06/04,花蓮縣,983
2022/06/05,花蓮縣,938
2022/06/06,花蓮縣,1398
2022/06/07,花蓮縣,1212
2022/06/08,花蓮縣,1117
2022/06/09,花蓮縣,1048
2022/06/10,花蓮縣,740
2022/06/11,花蓮縣,969
2022/06/12,花蓮縣,668
2022/06/13,花蓮縣,954
2022/06/14,花蓮縣,893
2022/06/15,花蓮縣,871
2022/06/16,花蓮縣,727
2022/06/17,花蓮縣,783
2022/06/18,花蓮縣,639
2022/06/19,花蓮縣,555
2022/06/20,花蓮縣,782
2022/06/21,花蓮縣,726
2022/06/22,花蓮縣,652
2022/06/23,花蓮縣,655
2022/06/24,花蓮縣,579
2022/06/25,花蓮縣,563
2022/06/26,花蓮縣,452
2022/06/27,花蓮縣,643
2022/06/28,花蓮縣,706
2022/06/29,花蓮縣,642
2022/06/30,花蓮縣,592
2022/07/01,花蓮縣,584
2022/07/02,花蓮縣,449
2022/07/03,花蓮縣,436
2022/07/04,花蓮縣,604
2022/07/05,花蓮縣,600
2022/07/06,花蓮縣,596
2022/07/07,花蓮縣,540
2022/07/08,花蓮縣,521
2022/07/09,花蓮縣,462
2022/07/10,花蓮縣,353
2022/07/11,花蓮縣,559
2022/07/12,花蓮縣,492
2022/07/13,花蓮縣,436
2022/07/14,花蓮縣,421
2022/07/15,花蓮縣,438
2022/07/16,花蓮縣,429
2022/07/17,花蓮縣,316
2022/07/18,花蓮縣,546
2022/07/19,花蓮縣,552
2022/07/20,花蓮縣,413
2022/07/21,花蓮縣,486
2022/07/22,花蓮縣,468
2022/07/23,花蓮縣,375
2022/07/24,花蓮縣,310
2022/07/25,花蓮縣,544
2022/07/26,花蓮縣,463
2022/07/27,花蓮縣,457
2022/07/28,花蓮縣,454
2022/07/29,花蓮縣,427
2022/07/30,花蓮縣,398
2022/07/31,花蓮縣,297
2022/08/01,花蓮縣,424
2022/08/02,花蓮縣,353
2022/08/03,花蓮縣,413
2022/08/04,花蓮縣,416
2022/08/05,花蓮縣,294
2022/08/06,花蓮縣,373
2022/08/07,花蓮縣,288
2022/08/08,花蓮縣,402
2022/08/09,花蓮縣,412
2022/08/10,花蓮縣,377
2022/08/11,花蓮縣,391
2022/08/12,花蓮縣,306
2022/08/13,花蓮縣,346
2022/08/14,花蓮縣,278
2022/08/15,花蓮縣,435
2022/08/16,花蓮縣,461
2022/08/17,花蓮縣,439
2022/08/18,花蓮縣,373
2022/08/19,花蓮縣,420
2022/08/20,花蓮縣,344
2022/08/21,花蓮縣,275
2022/08/22,花蓮縣,502
2022/08/23,花蓮縣,463
2022/08/24,花蓮縣,525
2022/08/25,花蓮縣,522
2022/08/26,花蓮縣,500
2022/08/27,花蓮縣,505
2022/08/28,花蓮縣,432
2022/08/29,花蓮縣,571
2022/08/30,花蓮縣,631
2022/08/31,花蓮縣,607
2022/09/01,花蓮縣,651
2022/09/02,花蓮縣,628
