個案研判日,縣市,確定病例數
2021/05/14,高雄市,1
2021/05/18,高雄市,3
2021/05/19,高雄市,6
2021/05/20,高雄市,2
2021/05/21,高雄市,4
2021/05/22,高雄市,3
2021/05/24,高雄市,5
2021/05/25,高雄市,3
2021/05/26,高雄市,2
2021/05/27,高雄市,14
2021/05/28,高雄市,1
2021/05/29,高雄市,1
2021/05/30,高雄市,1
2021/05/31,高雄市,1
2021/06/01,高雄市,1
2021/06/02,高雄市,5
2021/06/03,高雄市,1
2021/06/04,高雄市,1
2021/06/05,高雄市,3
2021/06/06,高雄市,3
2021/06/12,高雄市,1
2021/06/16,高雄市,1
2021/06/21,高雄市,1
2021/06/23,高雄市,9
2021/06/24,高雄市,6
2021/06/25,高雄市,2
2021/06/30,高雄市,2
2021/07/01,高雄市,2
2021/07/22,高雄市,1
2021/07/27,高雄市,1
2021/07/28,高雄市,2
2021/07/29,高雄市,1
2021/08/01,高雄市,1
2021/08/08,高雄市,1
2021/08/12,高雄市,2
2022/01/20,高雄市,5
2022/01/21,高雄市,13
2022/01/22,高雄市,20
2022/01/23,高雄市,5
2022/01/24,高雄市,7
2022/01/25,高雄市,11
2022/01/26,高雄市,6
2022/01/27,高雄市,8
2022/01/28,高雄市,7
2022/01/29,高雄市,5
2022/01/30,高雄市,9
2022/01/31,高雄市,9
2022/02/01,高雄市,8
2022/02/02,高雄市,15
2022/02/03,高雄市,8
2022/02/04,高雄市,15
2022/02/05,高雄市,3
2022/02/06,高雄市,1
2022/02/08,高雄市,5
2022/02/09,高雄市,4
2022/02/10,高雄市,8
2022/02/11,高雄市,5
2022/02/13,高雄市,1
2022/02/14,高雄市,2
2022/02/15,高雄市,5
2022/02/16,高雄市,2
2022/02/17,高雄市,3
2022/02/20,高雄市,1
2022/02/23,高雄市,1
2022/03/03,高雄市,1
2022/03/04,高雄市,3
2022/03/05,高雄市,1
2022/03/07,高雄市,1
2022/03/08,高雄市,2
2022/03/23,高雄市,1
2022/03/24,高雄市,11
2022/03/25,高雄市,4
2022/03/26,高雄市,1
2022/03/27,高雄市,3
2022/03/28,高雄市,2
2022/03/29,高雄市,3
2022/03/30,高雄市,2
2022/03/31,高雄市,4
2022/04/01,高雄市,6
2022/04/02,高雄市,6
2022/04/03,高雄市,1
2022/04/04,高雄市,5
2022/04/05,高雄市,34
2022/04/06,高雄市,36
2022/04/07,高雄市,50
2022/04/08,高雄市,30
2022/04/09,高雄市,25
2022/04/10,高雄市,30
2022/04/11,高雄市,49
2022/04/12,高雄市,63
2022/04/13,高雄市,45
2022/04/14,高雄市,50
2022/04/15,高雄市,58
2022/04/16,高雄市,41
2022/04/17,高雄市,26
2022/04/18,高雄市,50
2022/04/19,高雄市,106
2022/04/20,高雄市,68
2022/04/21,高雄市,121
2022/04/22,高雄市,96
2022/04/23,高雄市,135
2022/04/24,高雄市,153
2022/04/25,高雄市,198
2022/04/26,高雄市,269
2022/04/27,高雄市,343
2022/04/28,高雄市,393
2022/04/29,高雄市,469
2022/04/30,高雄市,443
2022/05/01,高雄市,681
2022/05/02,高雄市,818
2022/05/03,高雄市,1043
2022/05/04,高雄市,1182
2022/05/05,高雄市,1785
2022/05/06,高雄市,2184
2022/05/07,高雄市,2072
2022/05/08,高雄市,1981
2022/05/09,高雄市,2067
2022/05/10,高雄市,3729
2022/05/11,高雄市,3324
2022/05/12,高雄市,3757
2022/05/13,高雄市,3888
2022/05/14,高雄市,3985
2022/05/15,高雄市,4340
2022/05/16,高雄市,5070
2022/05/17,高雄市,6961
2022/05/18,高雄市,6825
2022/05/19,高雄市,7716
2022/05/20,高雄市,7845
2022/05/21,高雄市,7492
2022/05/22,高雄市,7430
2022/05/23,高雄市,9765
2022/05/24,高雄市,10011
2022/05/25,高雄市,8861
2022/05/26,高雄市,11707
2022/05/27,高雄市,10064
2022/05/28,高雄市,9986
2022/05/29,高雄市,8697
2022/05/30,高雄市,10930
2022/05/31,高雄市,11998
2022/06/01,高雄市,11001
2022/06/02,高雄市,11312
2022/06/03,高雄市,10083
2022/06/04,高雄市,9610
2022/06/05,高雄市,7843
2022/06/06,高雄市,13228
2022/06/07,高雄市,11716
2022/06/08,高雄市,11527
2022/06/09,高雄市,10515
2022/06/10,高雄市,9230
2022/06/11,高雄市,11877
2022/06/12,高雄市,7413
2022/06/13,高雄市,10262
2022/06/14,高雄市,10635
2022/06/15,高雄市,9857
2022/06/16,高雄市,8764
2022/06/17,高雄市,8195
2022/06/18,高雄市,7879
2022/06/19,高雄市,5638
2022/06/20,高雄市,8771
2022/06/21,高雄市,7508
2022/06/22,高雄市,7257
2022/06/23,高雄市,6819
2022/06/24,高雄市,5944
2022/06/25,高雄市,5756
2022/06/26,高雄市,4208
2022/06/27,高雄市,6331
2022/06/28,高雄市,5524
2022/06/29,高雄市,5327
2022/06/30,高雄市,4779
2022/07/01,高雄市,4738
2022/07/02,高雄市,4243
2022/07/03,高雄市,2964
2022/07/04,高雄市,4651
2022/07/05,高雄市,3970
2022/07/06,高雄市,3763
2022/07/07,高雄市,3622
2022/07/08,高雄市,3412
2022/07/09,高雄市,3227
2022/07/10,高雄市,2169
2022/07/11,高雄市,3847
2022/07/12,高雄市,3351
2022/07/13,高雄市,3136
2022/07/14,高雄市,2809
2022/07/15,高雄市,2892
2022/07/16,高雄市,2704
2022/07/17,高雄市,2044
2022/07/18,高雄市,3144
2022/07/19,高雄市,2912
2022/07/20,高雄市,2746
2022/07/21,高雄市,2690
2022/07/22,高雄市,2458
2022/07/23,高雄市,2352
2022/07/24,高雄市,1908
2022/07/25,高雄市,2805
2022/07/26,高雄市,2857
2022/07/27,高雄市,2508
2022/07/28,高雄市,2477
2022/07/29,高雄市,2316
2022/07/30,高雄市,2142
2022/07/31,高雄市,1760
2022/08/01,高雄市,2595
2022/08/02,高雄市,2360
2022/08/03,高雄市,2306
2022/08/04,高雄市,2154
2022/08/05,高雄市,2013
2022/08/06,高雄市,2103
2022/08/07,高雄市,1519
2022/08/08,高雄市,2402
2022/08/09,高雄市,2187
2022/08/10,高雄市,2132
2022/08/11,高雄市,1883
2022/08/12,高雄市,1832
2022/08/13,高雄市,1848
2022/08/14,高雄市,1349
2022/08/15,高雄市,2095
2022/08/16,高雄市,2142
2022/08/17,高雄市,1910
2022/08/18,高雄市,1885
2022/08/19,高雄市,1848
2022/08/20,高雄市,1893
2022/08/21,高雄市,1387
2022/08/22,高雄市,2307
2022/08/23,高雄市,2488
2022/08/24,高雄市,2265
2022/08/25,高雄市,2203
2022/08/26,高雄市,2182
2022/08/27,高雄市,2217
2022/08/28,高雄市,1593
2022/08/29,高雄市,2731
2022/08/30,高雄市,2761
2022/08/31,高雄市,2856
2022/09/01,高雄市,2733
2022/09/02,高雄市,2615
2022/09/03,高雄市,2731
2022/09/04,高雄市,1976
2022/09/05,高雄市,3087
2022/09/06,高雄市,3026
2022/09/07,高雄市,2711
2022/09/08,高雄市,2678
2022/09/09,高雄市,2943
2022/09/10,高雄市,2827
2022/09/11,高雄市,2209
2022/09/12,高雄市,4247
2022/09/13,高雄市,4338
2022/09/14,高雄市,3920
2022/09/15,高雄市,3591
2022/09/16,高雄市,3303
2022/09/17,高雄市,3354
2022/09/18,高雄市,2287
2022/09/19,高雄市,3952
2022/09/20,高雄市,3803
2022/09/21,高雄市,3687
2022/09/22,高雄市,3654
2022/09/23,高雄市,3641
2022/09/24,高雄市,3899
2022/09/25,高雄市,2635
2022/09/26,高雄市,4436
2022/09/27,高雄市,4610
2022/09/28,高雄市,4295
2022/09/29,高雄市,4185
2022/09/30,高雄市,4094
2022/10/01,高雄市,4137
2022/10/02,高雄市,3264
2022/10/03,高雄市,5196
2022/10/04,高雄市,5445
2022/10/05,高雄市,4744
2022/10/06,高雄市,5209
2022/10/07,高雄市,4720
2022/10/08,高雄市,4690
2022/10/09,高雄市,3458
2022/10/10,高雄市,4634
2022/10/11,高雄市,6211
2022/10/12,高雄市,5941
2022/10/13,高雄市,5234
2022/10/14,高雄市,4899
2022/10/15,高雄市,4954
2022/10/16,高雄市,3341
2022/10/17,高雄市,5644
2022/10/18,高雄市,5410
2022/10/19,高雄市,4934
2022/10/20,高雄市,4627
2022/10/21,高雄市,4423
2022/10/22,高雄市,4305
2022/10/23,高雄市,3152
2022/10/24,高雄市,5082
2022/10/25,高雄市,5077
2022/10/26,高雄市,4478
2022/10/27,高雄市,4349
2022/10/28,高雄市,4128
2022/10/29,高雄市,3900
2022/10/30,高雄市,2900
2022/10/31,高雄市,4547
2022/11/01,高雄市,4390
2022/11/02,高雄市,4132
2022/11/03,高雄市,3777
2022/11/04,高雄市,3603
2022/11/05,高雄市,3444
2022/11/06,高雄市,2343
2022/11/07,高雄市,3877
2022/11/08,高雄市,3703
2022/11/09,高雄市,3181
2022/11/10,高雄市,2953
2022/11/11,高雄市,2843
2022/11/12,高雄市,2634
2022/11/13,高雄市,2333
2022/11/14,高雄市,2683
2022/11/15,高雄市,3152
2022/11/16,高雄市,2790
2022/11/17,高雄市,2519
2022/11/18,高雄市,2258
2022/11/19,高雄市,2139
2022/11/20,高雄市,1584
2022/11/21,高雄市,2517
2022/11/22,高雄市,2365
2022/11/23,高雄市,2200
2022/11/24,高雄市,1869
2022/11/25,高雄市,1751
2022/11/26,高雄市,1760
2022/11/27,高雄市,1306
2022/11/28,高雄市,2221
2022/11/29,高雄市,2159
2022/11/30,高雄市,2041
2022/12/01,高雄市,1822
2022/12/02,高雄市,1841
2022/12/03,高雄市,1731
