個案研判日,縣市,確定病例數
2020-03-20,台北市,2
2020-03-21,台北市,0
2020-03-22,台北市,1
2020-03-23,台北市,0
2020-03-24,台北市,0
2020-03-25,台北市,0
2020-03-26,台北市,1
2020-03-27,台北市,0
2020-03-28,台北市,0
2020-03-29,台北市,0
2020-03-30,台北市,0
2020-03-31,台北市,1
2020-04-01,台北市,0
2020-04-02,台北市,1
2020-04-03,台北市,1
2020-04-04,台北市,0
2020-04-05,台北市,0
2020-04-06,台北市,0
2020-04-07,台北市,0
2020-04-08,台北市,0
2020-04-09,台北市,0
2020-04-10,台北市,0
2020-04-11,台北市,0
2020-04-12,台北市,0
2020-04-13,台北市,0
2020-04-14,台北市,0
2020-04-15,台北市,0
2020-04-16,台北市,0
2020-04-17,台北市,0
2020-04-18,台北市,0
2020-04-19,台北市,0
2020-04-20,台北市,0
2020-04-21,台北市,0
2020-04-22,台北市,0
2020-04-23,台北市,0
2020-04-24,台北市,0
2020-04-25,台北市,0
2020-04-26,台北市,0
2020-04-27,台北市,0
2020-04-28,台北市,0
2020-04-29,台北市,0
2020-04-30,台北市,0
2020-05-01,台北市,0
2020-05-02,台北市,0
2020-05-03,台北市,0
2020-05-04,台北市,0
2020-05-05,台北市,0
2020-05-06,台北市,0
2020-05-07,台北市,0
2020-05-08,台北市,0
2020-05-09,台北市,0
2020-05-10,台北市,0
2020-05-11,台北市,0
2020-05-12,台北市,0
2020-05-13,台北市,0
2020-05-14,台北市,0
2020-05-15,台北市,0
2020-05-16,台北市,0
2020-05-17,台北市,0
2020-05-18,台北市,0
2020-05-19,台北市,0
2020-05-20,台北市,0
2020-05-21,台北市,0
2020-05-22,台北市,0
2020-05-23,台北市,0
2020-05-24,台北市,0
2020-05-25,台北市,0
2020-05-26,台北市,0
2020-05-27,台北市,0
2020-05-28,台北市,0
2020-05-29,台北市,0
2020-05-30,台北市,0
2020-05-31,台北市,0
2020-06-01,台北市,0
2020-06-02,台北市,0
2020-06-03,台北市,0
2020-06-04,台北市,0
2020-06-05,台北市,0
2020-06-06,台北市,0
2020-06-07,台北市,0
2020-06-08,台北市,0
2020-06-09,台北市,0
2020-06-10,台北市,0
2020-06-11,台北市,0
2020-06-12,台北市,0
2020-06-13,台北市,0
2020-06-14,台北市,0
2020-06-15,台北市,0
2020-06-16,台北市,0
2020-06-17,台北市,0
2020-06-18,台北市,0
2020-06-19,台北市,0
2020-06-20,台北市,0
2020-06-21,台北市,0
2020-06-22,台北市,0
2020-06-23,台北市,0
2020-06-24,台北市,0
2020-06-25,台北市,0
2020-06-26,台北市,0
2020-06-27,台北市,0
2020-06-28,台北市,0
2020-06-29,台北市,0
2020-06-30,台北市,0
