個案研判日,縣市,確定病例數
2021/05/25,台東縣,2
2021/05/26,台東縣,1
2021/05/27,台東縣,4
2021/05/28,台東縣,1
2021/05/29,台東縣,5
2021/05/30,台東縣,1
2021/06/01,台東縣,3
2021/06/02,台東縣,4
2021/06/10,台東縣,1
2022/03/27,台東縣,6
2022/03/28,台東縣,3
2022/03/29,台東縣,1
2022/03/30,台東縣,7
2022/04/01,台東縣,1
2022/04/05,台東縣,1
2022/04/06,台東縣,1
2022/04/07,台東縣,1
2022/04/10,台東縣,2
2022/04/11,台東縣,1
2022/04/12,台東縣,2
2022/04/13,台東縣,3
2022/04/14,台東縣,20
2022/04/15,台東縣,11
2022/04/16,台東縣,18
2022/04/17,台東縣,16
2022/04/18,台東縣,6
2022/04/19,台東縣,5
2022/04/20,台東縣,24
2022/04/21,台東縣,38
2022/04/22,台東縣,26
2022/04/23,台東縣,36
2022/04/24,台東縣,25
2022/04/25,台東縣,40
2022/04/26,台東縣,20
2022/04/27,台東縣,74
2022/04/28,台東縣,52
2022/04/29,台東縣,51
2022/04/30,台東縣,72
2022/05/01,台東縣,81
2022/05/02,台東縣,94
2022/05/03,台東縣,111
2022/05/04,台東縣,128
2022/05/05,台東縣,156
2022/05/06,台東縣,234
2022/05/07,台東縣,196
2022/05/08,台東縣,265
2022/05/09,台東縣,166
2022/05/10,台東縣,347
2022/05/11,台東縣,322
2022/05/12,台東縣,333
2022/05/13,台東縣,367
2022/05/14,台東縣,282
2022/05/15,台東縣,334
2022/05/16,台東縣,369
2022/05/17,台東縣,613
2022/05/18,台東縣,637
2022/05/19,台東縣,610
2022/05/20,台東縣,539
2022/05/21,台東縣,504
2022/05/22,台東縣,515
2022/05/23,台東縣,877
2022/05/24,台東縣,690
2022/05/25,台東縣,680
2022/05/26,台東縣,811
2022/05/27,台東縣,718
2022/05/28,台東縣,814
2022/05/29,台東縣,565
2022/05/30,台東縣,789
2022/05/31,台東縣,856
2022/06/01,台東縣,832
2022/06/02,台東縣,863
2022/06/03,台東縣,627
2022/06/04,台東縣,688
2022/06/05,台東縣,511
