個案研判日,縣市,確定病例數
2020-03-26,基隆市,1
2020-03-27,基隆市,0
2020-03-28,基隆市,0
2020-03-29,基隆市,0
2020-03-30,基隆市,0
2020-03-31,基隆市,0
2020-04-01,基隆市,0
2020-04-02,基隆市,0
2020-04-03,基隆市,0
2020-04-04,基隆市,0
2020-04-05,基隆市,0
2020-04-06,基隆市,0
2020-04-07,基隆市,0
2020-04-08,基隆市,0
2020-04-09,基隆市,0
2020-04-10,基隆市,0
2020-04-11,基隆市,0
2020-04-12,基隆市,0
2020-04-13,基隆市,0
2020-04-14,基隆市,0
2020-04-15,基隆市,0
2020-04-16,基隆市,0
2020-04-17,基隆市,0
2020-04-18,基隆市,0
2020-04-19,基隆市,0
2020-04-20,基隆市,0
2020-04-21,基隆市,0
2020-04-22,基隆市,0
2020-04-23,基隆市,0
2020-04-24,基隆市,0
2020-04-25,基隆市,0
2020-04-26,基隆市,0
2020-04-27,基隆市,0
2020-04-28,基隆市,0
2020-04-29,基隆市,0
2020-04-30,基隆市,0
2020-05-01,基隆市,0
2020-05-02,基隆市,0
2020-05-03,基隆市,0
2020-05-04,基隆市,0
2020-05-05,基隆市,0
2020-05-06,基隆市,0
2020-05-07,基隆市,0
2020-05-08,基隆市,0
2020-05-09,基隆市,0
2020-05-10,基隆市,0
2020-05-11,基隆市,0
2020-05-12,基隆市,0
2020-05-13,基隆市,0
2020-05-14,基隆市,0
2020-05-15,基隆市,0
2020-05-16,基隆市,0
2020-05-17,基隆市,0
2020-05-18,基隆市,0
2020-05-19,基隆市,0
2020-05-20,基隆市,0
2020-05-21,基隆市,0
2020-05-22,基隆市,0
2020-05-23,基隆市,0
2020-05-24,基隆市,0
2020-05-25,基隆市,0
2020-05-26,基隆市,0
2020-05-27,基隆市,0
2020-05-28,基隆市,0
2020-05-29,基隆市,0
2020-05-30,基隆市,0
2020-05-31,基隆市,0
2020-06-01,基隆市,0
2020-06-02,基隆市,0
2020-06-03,基隆市,0
2020-06-04,基隆市,0
2020-06-05,基隆市,0
2020-06-06,基隆市,0
2020-06-07,基隆市,0
2020-06-08,基隆市,0
2020-06-09,基隆市,0
2020-06-10,基隆市,0
2020-06-11,基隆市,0
2020-06-12,基隆市,0
2020-06-13,基隆市,0
2020-06-14,基隆市,0
2020-06-15,基隆市,0
2020-06-16,基隆市,0
2020-06-17,基隆市,0
2020-06-18,基隆市,0
2020-06-19,基隆市,0
2020-06-20,基隆市,0
2020-06-21,基隆市,0
2020-06-22,基隆市,0
2020-06-23,基隆市,0
2020-06-24,基隆市,0
2020-06-25,基隆市,0
2020-06-26,基隆市,0
2020-06-27,基隆市,0
2020-06-28,基隆市,0
2020-06-29,基隆市,0
2020-06-30,基隆市,0
2020-07-01,基隆市,0
2020-07-02,基隆市,0
2020-07-03,基隆市,0
2020-07-04,基隆市,0
2020-07-05,基隆市,0
2020-07-06,基隆市,0
2020-07-07,基隆市,0
2020-07-08,基隆市,0
2020-07-09,基隆市,0
2020-07-10,基隆市,0
2020-07-11,基隆市,0
2020-07-12,基隆市,0
2020-07-13,基隆市,0
2020-07-14,基隆市,0
2020-07-15,基隆市,0
2020-07-16,基隆市,0
2020-07-17,基隆市,0
2020-07-18,基隆市,0
2020-07-19,基隆市,0
2020-07-20,基隆市,0
2020-07-21,基隆市,0
2020-07-22,基隆市,0
2020-07-23,基隆市,0
2020-07-24,基隆市,0
2020-07-25,基隆市,0
2020-07-26,基隆市,0
2020-07-27,基隆市,0
2020-07-28,基隆市,0
2020-07-29,基隆市,0
2020-07-30,基隆市,0
2020-07-31,基隆市,0
2020-08-01,基隆市,0
2020-08-02,基隆市,0
2020-08-03,基隆市,0
2020-08-04,基隆市,0
2020-08-05,基隆市,0
2020-08-06,基隆市,0
2020-08-07,基隆市,0
2020-08-08,基隆市,0
2020-08-09,基隆市,0
2020-08-10,基隆市,0
2020-08-11,基隆市,0
2020-08-12,基隆市,0
2020-08-13,基隆市,0
2020-08-14,基隆市,0
2020-08-15,基隆市,0
2020-08-16,基隆市,0
2020-08-17,基隆市,0
2020-08-18,基隆市,0
2020-08-19,基隆市,0
2020-08-20,基隆市,0
2020-08-21,基隆市,0
2020-08-22,基隆市,0
2020-08-23,基隆市,0
2020-08-24,基隆市,0
2020-08-25,基隆市,0
2020-08-26,基隆市,0
2020-08-27,基隆市,0
2020-08-28,基隆市,0
2020-08-29,基隆市,0
2020-08-30,基隆市,0
2020-08-31,基隆市,0
2020-09-01,基隆市,0
2020-09-02,基隆市,0
2020-09-03,基隆市,0
2020-09-04,基隆市,0
2020-09-05,基隆市,0
2020-09-06,基隆市,0
2020-09-07,基隆市,0
2020-09-08,基隆市,0
2020-09-09,基隆市,0
2020-09-10,基隆市,0
2020-09-11,基隆市,0
2020-09-12,基隆市,0
2020-09-13,基隆市,0
