個案研判日,縣市,確定病例數
2021/05/11,宜蘭縣,5
2021/05/12,宜蘭縣,3
2021/05/14,宜蘭縣,1
2021/05/15,宜蘭縣,4
2021/05/16,宜蘭縣,3
2021/05/17,宜蘭縣,2
2021/05/19,宜蘭縣,3
2021/05/20,宜蘭縣,8
2021/05/21,宜蘭縣,2
2021/05/22,宜蘭縣,3
2021/05/23,宜蘭縣,7
2021/05/25,宜蘭縣,8
2021/05/26,宜蘭縣,2
2021/05/27,宜蘭縣,10
2021/05/29,宜蘭縣,5
2021/05/30,宜蘭縣,1
2021/06/01,宜蘭縣,5
2021/06/03,宜蘭縣,1
2021/06/04,宜蘭縣,1
2021/06/06,宜蘭縣,9
2021/06/07,宜蘭縣,1
2021/06/09,宜蘭縣,2
2021/06/10,宜蘭縣,1
2021/06/11,宜蘭縣,3
2021/06/12,宜蘭縣,1
2021/06/14,宜蘭縣,2
2021/06/23,宜蘭縣,2
2021/06/25,宜蘭縣,1
2021/07/16,宜蘭縣,1
2021/07/22,宜蘭縣,1
2021/12/13,宜蘭縣,1
2022/01/23,宜蘭縣,3
2022/01/24,宜蘭縣,2
2022/01/28,宜蘭縣,1
2022/02/18,宜蘭縣,1
2022/02/24,宜蘭縣,1
2022/02/26,宜蘭縣,1
2022/03/07,宜蘭縣,2
2022/03/31,宜蘭縣,3
2022/04/01,宜蘭縣,5
2022/04/02,宜蘭縣,8
2022/04/03,宜蘭縣,5
2022/04/04,宜蘭縣,3
2022/04/05,宜蘭縣,5
2022/04/06,宜蘭縣,2
2022/04/07,宜蘭縣,5
2022/04/08,宜蘭縣,6
2022/04/09,宜蘭縣,15
2022/04/10,宜蘭縣,12
2022/04/11,宜蘭縣,9
2022/04/12,宜蘭縣,11
2022/04/13,宜蘭縣,14
2022/04/14,宜蘭縣,35
2022/04/15,宜蘭縣,39
2022/04/16,宜蘭縣,54
2022/04/17,宜蘭縣,57
2022/04/18,宜蘭縣,64
2022/04/19,宜蘭縣,85
2022/04/20,宜蘭縣,79
2022/04/21,宜蘭縣,87
2022/04/22,宜蘭縣,96
2022/04/23,宜蘭縣,119
2022/04/24,宜蘭縣,320
2022/04/25,宜蘭縣,127
2022/04/26,宜蘭縣,130
2022/04/27,宜蘭縣,167
2022/04/28,宜蘭縣,160
2022/04/29,宜蘭縣,291
2022/04/30,宜蘭縣,301
2022/05/01,宜蘭縣,378
2022/05/02,宜蘭縣,392
2022/05/03,宜蘭縣,467
2022/05/04,宜蘭縣,623
2022/05/05,宜蘭縣,621
2022/05/06,宜蘭縣,763
2022/05/07,宜蘭縣,820
2022/05/08,宜蘭縣,963
2022/05/09,宜蘭縣,827
2022/05/10,宜蘭縣,1320
2022/05/11,宜蘭縣,1093
2022/05/12,宜蘭縣,1359
2022/05/13,宜蘭縣,1683
2022/05/14,宜蘭縣,1819
2022/05/15,宜蘭縣,1567
2022/05/16,宜蘭縣,1450
2022/05/17,宜蘭縣,1835
2022/05/18,宜蘭縣,2061
2022/05/19,宜蘭縣,2193
2022/05/20,宜蘭縣,1942
2022/05/21,宜蘭縣,1712
2022/05/22,宜蘭縣,1424
2022/05/23,宜蘭縣,2071
2022/05/24,宜蘭縣,1649
2022/05/25,宜蘭縣,2009
2022/05/26,宜蘭縣,1658
2022/05/27,宜蘭縣,1773
2022/05/28,宜蘭縣,1473
2022/05/29,宜蘭縣,925
2022/05/30,宜蘭縣,1585
2022/05/31,宜蘭縣,1535
2022/06/01,宜蘭縣,1397
2022/06/02,宜蘭縣,1494
2022/06/03,宜蘭縣,1201
2022/06/04,宜蘭縣,1210
2022/06/05,宜蘭縣,821
2022/06/06,宜蘭縣,1534
2022/06/07,宜蘭縣,1356
2022/06/08,宜蘭縣,1226
2022/06/09,宜蘭縣,1211
2022/06/10,宜蘭縣,798
2022/06/11,宜蘭縣,1379
2022/06/12,宜蘭縣,691
2022/06/13,宜蘭縣,1262
2022/06/14,宜蘭縣,1170
2022/06/15,宜蘭縣,1122
2022/06/16,宜蘭縣,951
2022/06/17,宜蘭縣,923
2022/06/18,宜蘭縣,943
2022/06/19,宜蘭縣,560
2022/06/20,宜蘭縣,851
2022/06/21,宜蘭縣,934
2022/06/22,宜蘭縣,818
2022/06/23,宜蘭縣,737
2022/06/24,宜蘭縣,687
2022/06/25,宜蘭縣,761
2022/06/26,宜蘭縣,484
2022/06/27,宜蘭縣,832
2022/06/28,宜蘭縣,781
2022/06/29,宜蘭縣,694
2022/06/30,宜蘭縣,615
2022/07/01,宜蘭縣,658
2022/07/02,宜蘭縣,732
2022/07/03,宜蘭縣,466
2022/07/04,宜蘭縣,786
2022/07/05,宜蘭縣,765
2022/07/06,宜蘭縣,672
2022/07/07,宜蘭縣,671
2022/07/08,宜蘭縣,685
2022/07/09,宜蘭縣,702
2022/07/10,宜蘭縣,456
2022/07/11,宜蘭縣,755
2022/07/12,宜蘭縣,646
2022/07/13,宜蘭縣,639
2022/07/14,宜蘭縣,552
2022/07/15,宜蘭縣,622
2022/07/16,宜蘭縣,626
2022/07/17,宜蘭縣,394
2022/07/18,宜蘭縣,696
2022/07/19,宜蘭縣,653
2022/07/20,宜蘭縣,535
2022/07/21,宜蘭縣,588
2022/07/22,宜蘭縣,582
2022/07/23,宜蘭縣,548
2022/07/24,宜蘭縣,364
2022/07/25,宜蘭縣,641
2022/07/26,宜蘭縣,600
2022/07/27,宜蘭縣,521
2022/07/28,宜蘭縣,507
2022/07/29,宜蘭縣,424
2022/07/30,宜蘭縣,408
2022/07/31,宜蘭縣,356
2022/08/01,宜蘭縣,455
2022/08/02,宜蘭縣,510
2022/08/03,宜蘭縣,420
2022/08/04,宜蘭縣,470
2022/08/05,宜蘭縣,432
2022/08/06,宜蘭縣,432
2022/08/07,宜蘭縣,277
2022/08/08,宜蘭縣,465
2022/08/09,宜蘭縣,537
2022/08/10,宜蘭縣,455
2022/08/11,宜蘭縣,491
2022/08/12,宜蘭縣,435
