個案研判日,縣市,確定病例數
2021/05/21,屏東縣,1
2021/05/22,屏東縣,5
2021/05/23,屏東縣,8
2021/05/24,屏東縣,3
2021/05/25,屏東縣,4
2021/05/26,屏東縣,2
2021/05/27,屏東縣,3
2021/05/28,屏東縣,1
2021/06/04,屏東縣,1
2021/06/05,屏東縣,4
2021/06/07,屏東縣,1
2021/06/23,屏東縣,1
2021/06/24,屏東縣,6
2021/06/26,屏東縣,3
2021/06/27,屏東縣,1
2021/06/29,屏東縣,1
2021/06/30,屏東縣,1
2021/07/05,屏東縣,1
2021/07/06,屏東縣,1
2022/01/29,屏東縣,1
2022/02/09,屏東縣,3
2022/04/02,屏東縣,4
2022/04/03,屏東縣,1
2022/04/05,屏東縣,1
2022/04/06,屏東縣,4
2022/04/07,屏東縣,6
2022/04/08,屏東縣,9
2022/04/09,屏東縣,22
2022/04/10,屏東縣,18
2022/04/11,屏東縣,12
2022/04/12,屏東縣,19
2022/04/13,屏東縣,4
2022/04/14,屏東縣,19
2022/04/15,屏東縣,15
2022/04/16,屏東縣,15
2022/04/17,屏東縣,18
2022/04/18,屏東縣,17
2022/04/19,屏東縣,26
2022/04/20,屏東縣,36
2022/04/21,屏東縣,20
2022/04/22,屏東縣,27
2022/04/23,屏東縣,36
2022/04/24,屏東縣,36
2022/04/25,屏東縣,76
2022/04/26,屏東縣,63
2022/04/27,屏東縣,96
2022/04/28,屏東縣,112
2022/04/29,屏東縣,129
2022/04/30,屏東縣,188
2022/05/01,屏東縣,273
2022/05/02,屏東縣,275
2022/05/03,屏東縣,412
2022/05/04,屏東縣,408
2022/05/05,屏東縣,411
2022/05/06,屏東縣,547
2022/05/07,屏東縣,657
2022/05/08,屏東縣,712
2022/05/09,屏東縣,596
2022/05/10,屏東縣,1129
2022/05/11,屏東縣,943
2022/05/12,屏東縣,1071
2022/05/13,屏東縣,1019
2022/05/14,屏東縣,1171
2022/05/15,屏東縣,974
2022/05/16,屏東縣,1430
2022/05/17,屏東縣,1928
2022/05/18,屏東縣,2004
2022/05/19,屏東縣,2154
2022/05/20,屏東縣,2131
2022/05/21,屏東縣,2081
2022/05/22,屏東縣,1890
2022/05/23,屏東縣,2495
2022/05/24,屏東縣,2774
2022/05/25,屏東縣,2479
2022/05/26,屏東縣,2569
2022/05/27,屏東縣,2417
2022/05/28,屏東縣,2362
2022/05/29,屏東縣,1983
2022/05/30,屏東縣,2712
2022/05/31,屏東縣,2907
2022/06/01,屏東縣,2566
2022/06/02,屏東縣,2730
2022/06/03,屏東縣,2529
2022/06/04,屏東縣,2358
2022/06/05,屏東縣,2028
2022/06/06,屏東縣,3180
2022/06/07,屏東縣,2934
2022/06/08,屏東縣,2827
2022/06/09,屏東縣,2694
2022/06/10,屏東縣,2170
2022/06/11,屏東縣,2934
2022/06/12,屏東縣,1765
2022/06/13,屏東縣,2975
2022/06/14,屏東縣,2884
2022/06/15,屏東縣,2765
2022/06/16,屏東縣,2430
2022/06/17,屏東縣,2310
2022/06/18,屏東縣,2057
2022/06/19,屏東縣,1385
2022/06/20,屏東縣,2725
2022/06/21,屏東縣,2293
2022/06/22,屏東縣,2056
2022/06/23,屏東縣,1975
2022/06/24,屏東縣,1635
2022/06/25,屏東縣,1499
2022/06/26,屏東縣,1062
2022/06/27,屏東縣,1877
2022/06/28,屏東縣,1610
2022/06/29,屏東縣,1453
2022/06/30,屏東縣,1297
2022/07/01,屏東縣,1219
2022/07/02,屏東縣,1142
2022/07/03,屏東縣,817
2022/07/04,屏東縣,1370
2022/07/05,屏東縣,1233
2022/07/06,屏東縣,1106
2022/07/07,屏東縣,1063
2022/07/08,屏東縣,1077
2022/07/09,屏東縣,939
2022/07/10,屏東縣,596
2022/07/11,屏東縣,1074
2022/07/12,屏東縣,1001
2022/07/13,屏東縣,849
2022/07/14,屏東縣,778
2022/07/15,屏東縣,833
2022/07/16,屏東縣,712
2022/07/17,屏東縣,474
2022/07/18,屏東縣,903
2022/07/19,屏東縣,755
2022/07/20,屏東縣,701
2022/07/21,屏東縣,684
2022/07/22,屏東縣,654
2022/07/23,屏東縣,566
2022/07/24,屏東縣,433
2022/07/25,屏東縣,787
2022/07/26,屏東縣,702
2022/07/27,屏東縣,644
2022/07/28,屏東縣,667
2022/07/29,屏東縣,563
2022/07/30,屏東縣,580
2022/07/31,屏東縣,397
2022/08/01,屏東縣,710
2022/08/02,屏東縣,592
2022/08/03,屏東縣,544
2022/08/04,屏東縣,556
2022/08/05,屏東縣,534
2022/08/06,屏東縣,580
2022/08/07,屏東縣,348
2022/08/08,屏東縣,612
2022/08/09,屏東縣,530
2022/08/10,屏東縣,543
2022/08/11,屏東縣,509
2022/08/12,屏東縣,448
2022/08/13,屏東縣,431
2022/08/14,屏東縣,320
2022/08/15,屏東縣,543
2022/08/16,屏東縣,583
2022/08/17,屏東縣,520
2022/08/18,屏東縣,494
2022/08/19,屏東縣,524
2022/08/20,屏東縣,531
2022/08/21,屏東縣,368
2022/08/22,屏東縣,644
2022/08/23,屏東縣,591
2022/08/24,屏東縣,563
2022/08/25,屏東縣,601
2022/08/26,屏東縣,573
2022/08/27,屏東縣,562
2022/08/28,屏東縣,447
2022/08/29,屏東縣,728
2022/08/30,屏東縣,731
2022/08/31,屏東縣,707
2022/09/01,屏東縣,736
2022/09/02,屏東縣,740
2022/09/03,屏東縣,747
2022/09/04,屏東縣,562
2022/09/05,屏東縣,923
2022/09/06,屏東縣,876
2022/09/07,屏東縣,745
2022/09/08,屏東縣,828
2022/09/09,屏東縣,823
2022/09/10,屏東縣,704
2022/09/11,屏東縣,686
2022/09/12,屏東縣,1202
2022/09/13,屏東縣,1206
2022/09/14,屏東縣,1056
2022/09/15,屏東縣,1030
2022/09/16,屏東縣,959
2022/09/17,屏東縣,926
2022/09/18,屏東縣,630
2022/09/19,屏東縣,1081
2022/09/20,屏東縣,946
2022/09/21,屏東縣,937
2022/09/22,屏東縣,947
2022/09/23,屏東縣,885
2022/09/24,屏東縣,901
2022/09/25,屏東縣,704
2022/09/26,屏東縣,1183
2022/09/27,屏東縣,1122
2022/09/28,屏東縣,1054
2022/09/29,屏東縣,1043
2022/09/30,屏東縣,971
2022/10/01,屏東縣,1028
2022/10/02,屏東縣,726
2022/10/03,屏東縣,1232
2022/10/04,屏東縣,1207
2022/10/05,屏東縣,1155
2022/10/06,屏東縣,1271
2022/10/07,屏東縣,1133
2022/10/08,屏東縣,1132
2022/10/09,屏東縣,852
2022/10/10,屏東縣,1215
2022/10/11,屏東縣,1625
2022/10/12,屏東縣,1645
2022/10/13,屏東縣,1447
2022/10/14,屏東縣,1345
2022/10/15,屏東縣,1231
2022/10/16,屏東縣,852
2022/10/17,屏東縣,1465
2022/10/18,屏東縣,1345
2022/10/19,屏東縣,1282
2022/10/20,屏東縣,1157
2022/10/21,屏東縣,1057
2022/10/22,屏東縣,967
2022/10/23,屏東縣,667
2022/10/24,屏東縣,1364
2022/10/25,屏東縣,1280
2022/10/26,屏東縣,1073
2022/10/27,屏東縣,1080
2022/10/28,屏東縣,992
2022/10/29,屏東縣,922
2022/10/30,屏東縣,643
2022/10/31,屏東縣,1092
2022/11/01,屏東縣,1015
2022/11/02,屏東縣,948
2022/11/03,屏東縣,845
2022/11/04,屏東縣,844
2022/11/05,屏東縣,740
2022/11/06,屏東縣,500
2022/11/07,屏東縣,877
2022/11/08,屏東縣,823
2022/11/09,屏東縣,704
2022/11/10,屏東縣,604
2022/11/11,屏東縣,609
2022/11/12,屏東縣,525
2022/11/13,屏東縣,461
2022/11/14,屏東縣,691
2022/11/15,屏東縣,681
2022/11/16,屏東縣,610
2022/11/17,屏東縣,587
2022/11/18,屏東縣,522
2022/11/19,屏東縣,515
2022/11/20,屏東縣,367
2022/11/21,屏東縣,619
2022/11/22,屏東縣,551
2022/11/23,屏東縣,407
2022/11/24,屏東縣,408
2022/11/25,屏東縣,413
2022/11/26,屏東縣,374
2022/11/27,屏東縣,318
2022/11/28,屏東縣,530
2022/11/29,屏東縣,516
2022/11/30,屏東縣,460
2022/12/01,屏東縣,412
2022/12/02,屏東縣,410
2022/12/03,屏東縣,396
2022/12/04,屏東縣,299
2022/12/05,屏東縣,495
2022/12/06,屏東縣,489
2022/12/07,屏東縣,404
2022/12/08,屏東縣,405
2022/12/09,屏東縣,330
2022/12/10,屏東縣,332
2022/12/11,屏東縣,234
2022/12/12,屏東縣,482
2022/12/13,屏東縣,457
2022/12/14,屏東縣,352
2022/12/15,屏東縣,400
2022/12/16,屏東縣,365
2022/12/17,屏東縣,301
2022/12/18,屏東縣,189
2022/12/19,屏東縣,392
2022/12/20,屏東縣,403
2022/12/21,屏東縣,370
2022/12/22,屏東縣,340
2022/12/23,屏東縣,372
2022/12/24,屏東縣,370
2022/12/25,屏東縣,239
