個案研判日,縣市,確定病例數
2020-01-28,彰化縣,1
2020-01-29,彰化縣,0
2020-01-30,彰化縣,0
2020-01-31,彰化縣,0
2020-02-01,彰化縣,0
2020-02-02,彰化縣,0
2020-02-03,彰化縣,0
2020-02-04,彰化縣,0
2020-02-05,彰化縣,0
2020-02-06,彰化縣,0
2020-02-07,彰化縣,0
2020-02-08,彰化縣,0
2020-02-09,彰化縣,0
2020-02-10,彰化縣,0
2020-02-11,彰化縣,0
2020-02-12,彰化縣,0
2020-02-13,彰化縣,0
2020-02-14,彰化縣,0
2020-02-15,彰化縣,0
2020-02-16,彰化縣,0
2020-02-17,彰化縣,0
2020-02-18,彰化縣,1
2020-02-19,彰化縣,0
2020-02-20,彰化縣,0
2020-02-21,彰化縣,0
2020-02-22,彰化縣,0
2020-02-23,彰化縣,0
2020-02-24,彰化縣,0
2020-02-25,彰化縣,0
2020-02-26,彰化縣,0
2020-02-27,彰化縣,0
2020-02-28,彰化縣,0
2020-02-29,彰化縣,0
2020-03-01,彰化縣,0
2020-03-02,彰化縣,0
2020-03-03,彰化縣,0
2020-03-04,彰化縣,0
2020-03-05,彰化縣,0
2020-03-06,彰化縣,0
2020-03-07,彰化縣,0
2020-03-08,彰化縣,0
2020-03-09,彰化縣,0
2020-03-10,彰化縣,0
2020-03-11,彰化縣,0
2020-03-12,彰化縣,0
2020-03-13,彰化縣,0
2020-03-14,彰化縣,0
2020-03-15,彰化縣,0
2020-03-16,彰化縣,0
2020-03-17,彰化縣,0
2020-03-18,彰化縣,0
2020-03-19,彰化縣,0
2020-03-20,彰化縣,0
2020-03-21,彰化縣,0
2020-03-22,彰化縣,0
2020-03-23,彰化縣,0
2020-03-24,彰化縣,0
2020-03-25,彰化縣,0
2020-03-26,彰化縣,0
2020-03-27,彰化縣,0
2020-03-28,彰化縣,0
2020-03-29,彰化縣,0
2020-03-30,彰化縣,0
2020-03-31,彰化縣,0
2020-04-01,彰化縣,0
2020-04-02,彰化縣,0
2020-04-03,彰化縣,0
2020-04-04,彰化縣,0
2020-04-05,彰化縣,0
2020-04-06,彰化縣,0
2020-04-07,彰化縣,0
2020-04-08,彰化縣,0
2020-04-09,彰化縣,0
2020-04-10,彰化縣,0
2020-04-11,彰化縣,0
2020-04-12,彰化縣,0
2020-04-13,彰化縣,0
2020-04-14,彰化縣,0
2020-04-15,彰化縣,0
2020-04-16,彰化縣,0
2020-04-17,彰化縣,0
2020-04-18,彰化縣,0
2020-04-19,彰化縣,0
2020-04-20,彰化縣,0
2020-04-21,彰化縣,0
2020-04-22,彰化縣,0
2020-04-23,彰化縣,0
2020-04-24,彰化縣,0
2020-04-25,彰化縣,0
2020-04-26,彰化縣,0
2020-04-27,彰化縣,0
2020-04-28,彰化縣,0
2020-04-29,彰化縣,0
2020-04-30,彰化縣,0
2020-05-01,彰化縣,0
2020-05-02,彰化縣,0
2020-05-03,彰化縣,0
2020-05-04,彰化縣,0
2020-05-05,彰化縣,0
2020-05-06,彰化縣,0
2020-05-07,彰化縣,0
2020-05-08,彰化縣,0
2020-05-09,彰化縣,0
2020-05-10,彰化縣,0
2020-05-11,彰化縣,0
2020-05-12,彰化縣,0
2020-05-13,彰化縣,0
2020-05-14,彰化縣,0
2020-05-15,彰化縣,0
2020-05-16,彰化縣,0
2020-05-17,彰化縣,0
2020-05-18,彰化縣,0
2020-05-19,彰化縣,0
2020-05-20,彰化縣,0
2020-05-21,彰化縣,0
2020-05-22,彰化縣,0
2020-05-23,彰化縣,0
2020-05-24,彰化縣,0
2020-05-25,彰化縣,0
2020-05-26,彰化縣,0
2020-05-27,彰化縣,0
2020-05-28,彰化縣,0
2020-05-29,彰化縣,0
2020-05-30,彰化縣,0
2020-05-31,彰化縣,0
2020-06-01,彰化縣,0
2020-06-02,彰化縣,0
2020-06-03,彰化縣,0
2020-06-04,彰化縣,0
2020-06-05,彰化縣,0
2020-06-06,彰化縣,0
2020-06-07,彰化縣,0
2020-06-08,彰化縣,0
2020-06-09,彰化縣,0
2020-06-10,彰化縣,0
2020-06-11,彰化縣,0
2020-06-12,彰化縣,0
2020-06-13,彰化縣,0
2020-06-14,彰化縣,0
2020-06-15,彰化縣,0
2020-06-16,彰化縣,0
2020-06-17,彰化縣,0
2020-06-18,彰化縣,0
2020-06-19,彰化縣,0
2020-06-20,彰化縣,0
2020-06-21,彰化縣,0
2020-06-22,彰化縣,0
2020-06-23,彰化縣,0
2020-06-24,彰化縣,0
2020-06-25,彰化縣,0
2020-06-26,彰化縣,0
2020-06-27,彰化縣,0
2020-06-28,彰化縣,0
2020-06-29,彰化縣,0
2020-06-30,彰化縣,0
2020-07-01,彰化縣,0
2020-07-02,彰化縣,0
2020-07-03,彰化縣,0
2020-07-04,彰化縣,0
2020-07-05,彰化縣,0
2020-07-06,彰化縣,0
2020-07-07,彰化縣,0
2020-07-08,彰化縣,0
2020-07-09,彰化縣,0
2020-07-10,彰化縣,0
2020-07-11,彰化縣,0
2020-07-12,彰化縣,0
2020-07-13,彰化縣,0
2020-07-14,彰化縣,0
2020-07-15,彰化縣,0
2020-07-16,彰化縣,0
2020-07-17,彰化縣,0
2020-07-18,彰化縣,0
2020-07-19,彰化縣,0
2020-07-20,彰化縣,0
2020-07-21,彰化縣,0
2020-07-22,彰化縣,0
2020-07-23,彰化縣,0
2020-07-24,彰化縣,0
2020-07-25,彰化縣,0
2020-07-26,彰化縣,0
2020-07-27,彰化縣,0
2020-07-28,彰化縣,0
2020-07-29,彰化縣,0
2020-07-30,彰化縣,0
2020-07-31,彰化縣,0
2020-08-01,彰化縣,0
2020-08-02,彰化縣,0
2020-08-03,彰化縣,0
2020-08-04,彰化縣,0
2020-08-05,彰化縣,0
2020-08-06,彰化縣,0
2020-08-07,彰化縣,0
2020-08-08,彰化縣,0
2020-08-09,彰化縣,0
2020-08-10,彰化縣,0
2020-08-11,彰化縣,0
2020-08-12,彰化縣,0
2020-08-13,彰化縣,0
2020-08-14,彰化縣,0
2020-08-15,彰化縣,0
2020-08-16,彰化縣,0
2020-08-17,彰化縣,0
2020-08-18,彰化縣,0
2020-08-19,彰化縣,0
2020-08-20,彰化縣,0
2020-08-21,彰化縣,0
2020-08-22,彰化縣,0
2020-08-23,彰化縣,0
2020-08-24,彰化縣,0
2020-08-25,彰化縣,0
2020-08-26,彰化縣,0
2020-08-27,彰化縣,0
2020-08-28,彰化縣,0
2020-08-29,彰化縣,0
2020-08-30,彰化縣,0
2020-08-31,彰化縣,0
2020-09-01,彰化縣,0
2020-09-02,彰化縣,0
2020-09-03,彰化縣,0
2020-09-04,彰化縣,0
2020-09-05,彰化縣,0
2020-09-06,彰化縣,0
2020-09-07,彰化縣,0
2020-09-08,彰化縣,0
2020-09-09,彰化縣,0
2020-09-10,彰化縣,0
2020-09-11,彰化縣,0
2020-09-12,彰化縣,0
2020-09-13,彰化縣,0
2020-09-14,彰化縣,0
2020-09-15,彰化縣,0
2020-09-16,彰化縣,0
2020-09-17,彰化縣,0
2020-09-18,彰化縣,0
2020-09-19,彰化縣,0
2020-09-20,彰化縣,0
2020-09-21,彰化縣,0
2020-09-22,彰化縣,0
2020-09-23,彰化縣,0
2020-09-24,彰化縣,0
2020-09-25,彰化縣,0
2020-09-26,彰化縣,0
2020-09-27,彰化縣,0
2020-09-28,彰化縣,0
2020-09-29,彰化縣,0
2020-09-30,彰化縣,0
2020-10-01,彰化縣,0
2020-10-02,彰化縣,0
2020-10-03,彰化縣,0
2020-10-04,彰化縣,0
2020-10-05,彰化縣,0
2020-10-06,彰化縣,0
2020-10-07,彰化縣,0
2020-10-08,彰化縣,0
2020-10-09,彰化縣,0
2020-10-10,彰化縣,0
2020-10-11,彰化縣,0
2020-10-12,彰化縣,0
2020-10-13,彰化縣,0
2020-10-14,彰化縣,0
2020-10-15,彰化縣,0
2020-10-16,彰化縣,0
2020-10-17,彰化縣,0
2020-10-18,彰化縣,0
2020-10-19,彰化縣,0
2020-10-20,彰化縣,0
2020-10-21,彰化縣,0
2020-10-22,彰化縣,0
2020-10-23,彰化縣,0
2020-10-24,彰化縣,0
2020-10-25,彰化縣,0
2020-10-26,彰化縣,0
2020-10-27,彰化縣,0
2020-10-28,彰化縣,0
2020-10-29,彰化縣,0
2020-10-30,彰化縣,0
2020-10-31,彰化縣,0
2020-11-01,彰化縣,0
2020-11-02,彰化縣,0
2020-11-03,彰化縣,0
2020-11-04,彰化縣,0
2020-11-05,彰化縣,0
2020-11-06,彰化縣,0
2020-11-07,彰化縣,0
2020-11-08,彰化縣,0
2020-11-09,彰化縣,0
2020-11-10,彰化縣,0
2020-11-11,彰化縣,0
2020-11-12,彰化縣,0
2020-11-13,彰化縣,0
2020-11-14,彰化縣,0
2020-11-15,彰化縣,0
2020-11-16,彰化縣,0
2020-11-17,彰化縣,0
2020-11-18,彰化縣,0
2020-11-19,彰化縣,0
2020-11-20,彰化縣,0
2020-11-21,彰化縣,0
2020-11-22,彰化縣,0
2020-11-23,彰化縣,0
2020-11-24,彰化縣,0
2020-11-25,彰化縣,0
2020-11-26,彰化縣,0
2020-11-27,彰化縣,0
2020-11-28,彰化縣,0
2020-11-29,彰化縣,0
2020-11-30,彰化縣,0
2020-12-01,彰化縣,0
2020-12-02,彰化縣,0
2020-12-03,彰化縣,0
2020-12-04,彰化縣,0
2020-12-05,彰化縣,0
2020-12-06,彰化縣,0
