個案研判日,縣市,確定病例數
2020-03-24,新竹市,1
2020-03-25,新竹市,0
2020-03-26,新竹市,0
2020-03-27,新竹市,0
2020-03-28,新竹市,0
2020-03-29,新竹市,0
2020-03-30,新竹市,0
2020-03-31,新竹市,0
2020-04-01,新竹市,0
2020-04-02,新竹市,0
2020-04-03,新竹市,0
2020-04-04,新竹市,0
2020-04-05,新竹市,0
2020-04-06,新竹市,1
2020-04-07,新竹市,0
2020-04-08,新竹市,0
2020-04-09,新竹市,0
2020-04-10,新竹市,0
2020-04-11,新竹市,0
2020-04-12,新竹市,0
2020-04-13,新竹市,0
2020-04-14,新竹市,0
2020-04-15,新竹市,0
2020-04-16,新竹市,0
2020-04-17,新竹市,0
2020-04-18,新竹市,0
2020-04-19,新竹市,0
2020-04-20,新竹市,0
2020-04-21,新竹市,0
2020-04-22,新竹市,0
2020-04-23,新竹市,0
2020-04-24,新竹市,0
2020-04-25,新竹市,0
2020-04-26,新竹市,0
2020-04-27,新竹市,0
2020-04-28,新竹市,0
2020-04-29,新竹市,0
2020-04-30,新竹市,0
2020-05-01,新竹市,0
2020-05-02,新竹市,0
2020-05-03,新竹市,0
2020-05-04,新竹市,0
2020-05-05,新竹市,0
2020-05-06,新竹市,0
2020-05-07,新竹市,0
2020-05-08,新竹市,0
2020-05-09,新竹市,0
2020-05-10,新竹市,0
2020-05-11,新竹市,0
2020-05-12,新竹市,0
2020-05-13,新竹市,0
2020-05-14,新竹市,0
2020-05-15,新竹市,0
2020-05-16,新竹市,0
2020-05-17,新竹市,0
2020-05-18,新竹市,0
2020-05-19,新竹市,0
2020-05-20,新竹市,0
2020-05-21,新竹市,0
2020-05-22,新竹市,0
2020-05-23,新竹市,0
2020-05-24,新竹市,0
2020-05-25,新竹市,0
2020-05-26,新竹市,0
2020-05-27,新竹市,0
2020-05-28,新竹市,0
2020-05-29,新竹市,0
2020-05-30,新竹市,0
2020-05-31,新竹市,0
2020-06-01,新竹市,0
2020-06-02,新竹市,0
2020-06-03,新竹市,0
2020-06-04,新竹市,0
2020-06-05,新竹市,0
2020-06-06,新竹市,0
2020-06-07,新竹市,0
2020-06-08,新竹市,0
2020-06-09,新竹市,0
2020-06-10,新竹市,0
2020-06-11,新竹市,0
2020-06-12,新竹市,0
2020-06-13,新竹市,0
2020-06-14,新竹市,0
2020-06-15,新竹市,0
2020-06-16,新竹市,0
2020-06-17,新竹市,0
2020-06-18,新竹市,0
2020-06-19,新竹市,0
2020-06-20,新竹市,0
2020-06-21,新竹市,0
2020-06-22,新竹市,0
2020-06-23,新竹市,0
2020-06-24,新竹市,0
2020-06-25,新竹市,0
2020-06-26,新竹市,0
2020-06-27,新竹市,0
2020-06-28,新竹市,0
2020-06-29,新竹市,0
2020-06-30,新竹市,0
2020-07-01,新竹市,0
2020-07-02,新竹市,0
2020-07-03,新竹市,0
2020-07-04,新竹市,0
2020-07-05,新竹市,0
2020-07-06,新竹市,0
2020-07-07,新竹市,0
2020-07-08,新竹市,0
2020-07-09,新竹市,0
2020-07-10,新竹市,0
2020-07-11,新竹市,0
2020-07-12,新竹市,0
2020-07-13,新竹市,0
2020-07-14,新竹市,0
2020-07-15,新竹市,0
2020-07-16,新竹市,0
2020-07-17,新竹市,0
2020-07-18,新竹市,0
2020-07-19,新竹市,0
2020-07-20,新竹市,0
2020-07-21,新竹市,0
2020-07-22,新竹市,0
2020-07-23,新竹市,0
2020-07-24,新竹市,0
2020-07-25,新竹市,0
2020-07-26,新竹市,0
2020-07-27,新竹市,0
2020-07-28,新竹市,0
2020-07-29,新竹市,0
2020-07-30,新竹市,0
2020-07-31,新竹市,0
2020-08-01,新竹市,0
2020-08-02,新竹市,0
2020-08-03,新竹市,0
2020-08-04,新竹市,0
2020-08-05,新竹市,0
2020-08-06,新竹市,0
2020-08-07,新竹市,0
2020-08-08,新竹市,0
2020-08-09,新竹市,0
2020-08-10,新竹市,0
2020-08-11,新竹市,0
2020-08-12,新竹市,0
2020-08-13,新竹市,0
2020-08-14,新竹市,0
2020-08-15,新竹市,0
2020-08-16,新竹市,0
2020-08-17,新竹市,0
2020-08-18,新竹市,0
2020-08-19,新竹市,0
2020-08-20,新竹市,0
2020-08-21,新竹市,0
2020-08-22,新竹市,0
2020-08-23,新竹市,0
2020-08-24,新竹市,0
2020-08-25,新竹市,0
2020-08-26,新竹市,0
2020-08-27,新竹市,0
2020-08-28,新竹市,0
2020-08-29,新竹市,0
2020-08-30,新竹市,0
2020-08-31,新竹市,0
2020-09-01,新竹市,0
2020-09-02,新竹市,0
2020-09-03,新竹市,0
2020-09-04,新竹市,0
2020-09-05,新竹市,0
2020-09-06,新竹市,0
2020-09-07,新竹市,0
2020-09-08,新竹市,0
2020-09-09,新竹市,0
2020-09-10,新竹市,0
2020-09-11,新竹市,0
2020-09-12,新竹市,0
2020-09-13,新竹市,0
2020-09-14,新竹市,0
2020-09-15,新竹市,0
2020-09-16,新竹市,0
2020-09-17,新竹市,0
2020-09-18,新竹市,0
2020-09-19,新竹市,0
2020-09-20,新竹市,0
2020-09-21,新竹市,0
2020-09-22,新竹市,0
2020-09-23,新竹市,0
2020-09-24,新竹市,0
2020-09-25,新竹市,0
2020-09-26,新竹市,0
2020-09-27,新竹市,0
2020-09-28,新竹市,0
2020-09-29,新竹市,0
2020-09-30,新竹市,0
2020-10-01,新竹市,0
2020-10-02,新竹市,0
2020-10-03,新竹市,0
2020-10-04,新竹市,0
2020-10-05,新竹市,0
2020-10-06,新竹市,0
2020-10-07,新竹市,0
2020-10-08,新竹市,0
2020-10-09,新竹市,0
2020-10-10,新竹市,0
2020-10-11,新竹市,0
2020-10-12,新竹市,0
2020-10-13,新竹市,0
2020-10-14,新竹市,0
2020-10-15,新竹市,0
2020-10-16,新竹市,0
2020-10-17,新竹市,0
2020-10-18,新竹市,0
2020-10-19,新竹市,0
2020-10-20,新竹市,0
2020-10-21,新竹市,0
2020-10-22,新竹市,0
2020-10-23,新竹市,0
2020-10-24,新竹市,0
2020-10-25,新竹市,0
2020-10-26,新竹市,0
2020-10-27,新竹市,0
2020-10-28,新竹市,0
2020-10-29,新竹市,0
2020-10-30,新竹市,0
2020-10-31,新竹市,0
2020-11-01,新竹市,0
2020-11-02,新竹市,0
2020-11-03,新竹市,0
2020-11-04,新竹市,0
2020-11-05,新竹市,0
2020-11-06,新竹市,0
2020-11-07,新竹市,0
2020-11-08,新竹市,0
2020-11-09,新竹市,0
2020-11-10,新竹市,0
2020-11-11,新竹市,0
2020-11-12,新竹市,0
2020-11-13,新竹市,0
2020-11-14,新竹市,0
2020-11-15,新竹市,0
2020-11-16,新竹市,0
2020-11-17,新竹市,0
2020-11-18,新竹市,0
2020-11-19,新竹市,0
2020-11-20,新竹市,0
2020-11-21,新竹市,0
2020-11-22,新竹市,0
2020-11-23,新竹市,0
2020-11-24,新竹市,0
2020-11-25,新竹市,0
2020-11-26,新竹市,0
2020-11-27,新竹市,0
2020-11-28,新竹市,0
2020-11-29,新竹市,0
2020-11-30,新竹市,0
2020-12-01,新竹市,0
2020-12-02,新竹市,0
2020-12-03,新竹市,0
2020-12-04,新竹市,0
2020-12-05,新竹市,0
2020-12-06,新竹市,0
2020-12-07,新竹市,0
2020-12-08,新竹市,0
2020-12-09,新竹市,0
2020-12-10,新竹市,0
2020-12-11,新竹市,0
2020-12-12,新竹市,0
2020-12-13,新竹市,0
2020-12-14,新竹市,0
2020-12-15,新竹市,0
2020-12-16,新竹市,0
2020-12-17,新竹市,0
2020-12-18,新竹市,0
2020-12-19,新竹市,0
2020-12-20,新竹市,0
2020-12-21,新竹市,0
2020-12-22,新竹市,0
2020-12-23,新竹市,0
2020-12-24,新竹市,0
2020-12-25,新竹市,0
2020-12-26,新竹市,0
2020-12-27,新竹市,0
2020-12-28,新竹市,0
2020-12-29,新竹市,0
2020-12-30,新竹市,0
2020-12-31,新竹市,0
2021-01-01,新竹市,0
2021-01-02,新竹市,0
