個案研判日,縣市,確定病例數
2021-05-16,新竹縣,1
2021-05-17,新竹縣,1
2021-05-18,新竹縣,0
2021-05-19,新竹縣,0
2021-05-20,新竹縣,0
2021-05-21,新竹縣,0
2021-05-22,新竹縣,2
2021-05-23,新竹縣,0
2021-05-24,新竹縣,1
2021-05-25,新竹縣,1
2021-05-26,新竹縣,4
2021-05-27,新竹縣,5
2021-05-28,新竹縣,1
2021-05-29,新竹縣,2
2021-05-30,新竹縣,0
2021-05-31,新竹縣,1
2021-06-01,新竹縣,1
2021-06-02,新竹縣,2
2021-06-03,新竹縣,0
2021-06-04,新竹縣,1
2021-06-05,新竹縣,7
2021-06-06,新竹縣,3
2021-06-07,新竹縣,1
2021-06-08,新竹縣,0
2021-06-09,新竹縣,1
2021-06-10,新竹縣,2
2021-06-11,新竹縣,12
2021-06-12,新竹縣,1
2021-06-13,新竹縣,2
2021-06-14,新竹縣,3
2021-06-15,新竹縣,0
2021-06-16,新竹縣,0
2021-06-17,新竹縣,0
2021-06-18,新竹縣,1
2021-06-19,新竹縣,3
2021-06-20,新竹縣,4
2021-06-21,新竹縣,0
2021-06-22,新竹縣,1
2021-06-23,新竹縣,0
2021-06-24,新竹縣,5
2021-06-25,新竹縣,4
2021-06-26,新竹縣,1
2021-06-27,新竹縣,0
2021-06-28,新竹縣,0
2021-06-29,新竹縣,4
2021-06-30,新竹縣,0
2021-07-01,新竹縣,1
2021-07-02,新竹縣,4
2021-07-03,新竹縣,0
2021-07-04,新竹縣,0
2021-07-05,新竹縣,1
2021-07-06,新竹縣,0
2021-07-07,新竹縣,0
2021-07-08,新竹縣,0
2021-07-09,新竹縣,0
2021-07-10,新竹縣,0
2021-07-11,新竹縣,1
2021-07-12,新竹縣,0
2021-07-13,新竹縣,0
2021-07-14,新竹縣,0
2021-07-15,新竹縣,0
2021-07-16,新竹縣,0
2021-07-17,新竹縣,0
2021-07-18,新竹縣,0
2021-07-19,新竹縣,0
2021-07-20,新竹縣,0
2021-07-21,新竹縣,0
2021-07-22,新竹縣,0
2021-07-23,新竹縣,0
2021-07-24,新竹縣,0
2021-07-25,新竹縣,0
