個案研判日,縣市,確定病例數
2020-02-28,桃園市,1
2020-02-29,桃園市,4
2020-03-01,桃園市,0
2020-03-02,桃園市,1
2020-03-03,桃園市,0
2020-03-04,桃園市,0
2020-03-05,桃園市,0
2020-03-06,桃園市,1
2020-03-07,桃園市,0
2020-03-08,桃園市,0
2020-03-09,桃園市,0
2020-03-10,桃園市,1
2020-03-11,桃園市,0
2020-03-12,桃園市,0
2020-03-13,桃園市,0
2020-03-14,桃園市,0
2020-03-15,桃園市,0
2020-03-16,桃園市,0
2020-03-17,桃園市,0
2020-03-18,桃園市,0
2020-03-19,桃園市,0
2020-03-20,桃園市,0
2020-03-21,桃園市,0
2020-03-22,桃園市,0
2020-03-23,桃園市,0
2020-03-24,桃園市,0
2020-03-25,桃園市,0
2020-03-26,桃園市,0
2020-03-27,桃園市,0
2020-03-28,桃園市,1
2020-03-29,桃園市,0
2020-03-30,桃園市,1
2020-03-31,桃園市,0
2020-04-01,桃園市,0
2020-04-02,桃園市,0
2020-04-03,桃園市,0
2020-04-04,桃園市,1
2020-04-05,桃園市,0
2020-04-06,桃園市,0
2020-04-07,桃園市,0
2020-04-08,桃園市,1
2020-04-09,桃園市,0
2020-04-10,桃園市,0
2020-04-11,桃園市,0
2020-04-12,桃園市,0
2020-04-13,桃園市,0
2020-04-14,桃園市,0
2020-04-15,桃園市,0
2020-04-16,桃園市,0
2020-04-17,桃園市,0
2020-04-18,桃園市,0
2020-04-19,桃園市,0
2020-04-20,桃園市,0
2020-04-21,桃園市,0
2020-04-22,桃園市,0
2020-04-23,桃園市,0
2020-04-24,桃園市,0
2020-04-25,桃園市,0
2020-04-26,桃園市,0
2020-04-27,桃園市,0
2020-04-28,桃園市,0
2020-04-29,桃園市,0
2020-04-30,桃園市,0
2020-05-01,桃園市,0
2020-05-02,桃園市,0
2020-05-03,桃園市,0
2020-05-04,桃園市,0
2020-05-05,桃園市,0
2020-05-06,桃園市,0
2020-05-07,桃園市,0
2020-05-08,桃園市,0
2020-05-09,桃園市,0
2020-05-10,桃園市,0
2020-05-11,桃園市,0
2020-05-12,桃園市,0
2020-05-13,桃園市,0
2020-05-14,桃園市,0
2020-05-15,桃園市,0
2020-05-16,桃園市,0
2020-05-17,桃園市,0
2020-05-18,桃園市,0
2020-05-19,桃園市,0
2020-05-20,桃園市,0
2020-05-21,桃園市,0
2020-05-22,桃園市,0
2020-05-23,桃園市,0
2020-05-24,桃園市,0
2020-05-25,桃園市,0
2020-05-26,桃園市,0
2020-05-27,桃園市,0
2020-05-28,桃園市,0
2020-05-29,桃園市,0
2020-05-30,桃園市,0
2020-05-31,桃園市,0
2020-06-01,桃園市,0
2020-06-02,桃園市,0
2020-06-03,桃園市,0
2020-06-04,桃園市,0
2020-06-05,桃園市,0
2020-06-06,桃園市,0
2020-06-07,桃園市,0
2020-06-08,桃園市,0
2020-06-09,桃園市,0
2020-06-10,桃園市,0
2020-06-11,桃園市,0
2020-06-12,桃園市,0
2020-06-13,桃園市,0
2020-06-14,桃園市,0
2020-06-15,桃園市,0
2020-06-16,桃園市,0
