個案研判日,縣市,確定病例數
2021/05/31,澎湖縣,1
2021/06/01,澎湖縣,1
2021/06/07,澎湖縣,3
2022/04/17,澎湖縣,1
2022/04/18,澎湖縣,1
2022/04/19,澎湖縣,1
2022/04/21,澎湖縣,2
2022/04/22,澎湖縣,1
2022/04/23,澎湖縣,1
2022/04/24,澎湖縣,1
2022/04/25,澎湖縣,3
2022/04/26,澎湖縣,11
2022/04/27,澎湖縣,4
2022/04/28,澎湖縣,7
2022/04/29,澎湖縣,5
2022/04/30,澎湖縣,9
2022/05/01,澎湖縣,14
2022/05/02,澎湖縣,14
2022/05/03,澎湖縣,23
2022/05/04,澎湖縣,30
2022/05/05,澎湖縣,26
2022/05/06,澎湖縣,59
2022/05/07,澎湖縣,26
2022/05/08,澎湖縣,59
2022/05/09,澎湖縣,43
2022/05/10,澎湖縣,94
2022/05/11,澎湖縣,62
2022/05/12,澎湖縣,86
2022/05/13,澎湖縣,76
2022/05/14,澎湖縣,73
2022/05/15,澎湖縣,92
2022/05/16,澎湖縣,112
2022/05/17,澎湖縣,143
2022/05/18,澎湖縣,144
2022/05/19,澎湖縣,122
2022/05/20,澎湖縣,145
2022/05/21,澎湖縣,121
2022/05/22,澎湖縣,138
2022/05/23,澎湖縣,160
2022/05/24,澎湖縣,144
2022/05/25,澎湖縣,145
2022/05/26,澎湖縣,126
2022/05/27,澎湖縣,127
2022/05/28,澎湖縣,133
2022/05/29,澎湖縣,85
2022/05/30,澎湖縣,194
2022/05/31,澎湖縣,145
2022/06/01,澎湖縣,154
2022/06/02,澎湖縣,169
2022/06/03,澎湖縣,137
2022/06/04,澎湖縣,146
2022/06/05,澎湖縣,146
2022/06/06,澎湖縣,232
2022/06/07,澎湖縣,247
2022/06/08,澎湖縣,182
2022/06/09,澎湖縣,176
2022/06/10,澎湖縣,153
2022/06/11,澎湖縣,238
2022/06/12,澎湖縣,168
2022/06/13,澎湖縣,182
2022/06/14,澎湖縣,223
2022/06/15,澎湖縣,211
2022/06/16,澎湖縣,207
2022/06/17,澎湖縣,201
2022/06/18,澎湖縣,198
2022/06/19,澎湖縣,136
2022/06/20,澎湖縣,235
2022/06/21,澎湖縣,209
2022/06/22,澎湖縣,220
2022/06/23,澎湖縣,170
2022/06/24,澎湖縣,170
2022/06/25,澎湖縣,181
2022/06/26,澎湖縣,140
2022/06/27,澎湖縣,200
2022/06/28,澎湖縣,159
2022/06/29,澎湖縣,140
2022/06/30,澎湖縣,172
2022/07/01,澎湖縣,156
2022/07/02,澎湖縣,165
2022/07/03,澎湖縣,136
2022/07/04,澎湖縣,187
2022/07/05,澎湖縣,183
2022/07/06,澎湖縣,167
2022/07/07,澎湖縣,170
2022/07/08,澎湖縣,172
2022/07/09,澎湖縣,122
2022/07/10,澎湖縣,108
2022/07/11,澎湖縣,162
2022/07/12,澎湖縣,129
2022/07/13,澎湖縣,137
2022/07/14,澎湖縣,148
2022/07/15,澎湖縣,133
2022/07/16,澎湖縣,126
2022/07/17,澎湖縣,92
2022/07/18,澎湖縣,134
2022/07/19,澎湖縣,126
2022/07/20,澎湖縣,145
2022/07/21,澎湖縣,111
2022/07/22,澎湖縣,111
2022/07/23,澎湖縣,75
2022/07/24,澎湖縣,110
2022/07/25,澎湖縣,135
2022/07/26,澎湖縣,137
2022/07/27,澎湖縣,142
2022/07/28,澎湖縣,123
2022/07/29,澎湖縣,149
2022/07/30,澎湖縣,146
2022/07/31,澎湖縣,103
2022/08/01,澎湖縣,134
