個案研判日,縣市,確定病例數
2021-05-22,花蓮縣,3
2021-05-23,花蓮縣,1
2021-05-24,花蓮縣,0
2021-05-25,花蓮縣,1
2021-05-26,花蓮縣,1
2021-05-27,花蓮縣,6
2021-05-28,花蓮縣,9
2021-05-29,花蓮縣,4
2021-05-30,花蓮縣,0
2021-05-31,花蓮縣,0
2021-06-01,花蓮縣,0
2021-06-02,花蓮縣,1
2021-06-03,花蓮縣,1
2021-06-04,花蓮縣,1
2021-06-05,花蓮縣,0
2021-06-06,花蓮縣,0
2021-06-07,花蓮縣,0
2021-06-08,花蓮縣,0
2021-06-09,花蓮縣,0
2021-06-10,花蓮縣,7
2021-06-11,花蓮縣,2
2021-06-12,花蓮縣,3
2021-06-13,花蓮縣,1
2021-06-14,花蓮縣,0
2021-06-15,花蓮縣,2
2021-06-16,花蓮縣,8
2021-06-17,花蓮縣,0
2021-06-18,花蓮縣,1
2021-06-19,花蓮縣,0
2021-06-20,花蓮縣,0
2021-06-21,花蓮縣,0
2021-06-22,花蓮縣,0
2021-06-23,花蓮縣,0
2021-06-24,花蓮縣,0
2021-06-25,花蓮縣,0
2021-06-26,花蓮縣,0
2021-06-27,花蓮縣,0
2021-06-28,花蓮縣,0
2021-06-29,花蓮縣,0
2021-06-30,花蓮縣,0
2021-07-01,花蓮縣,0
2021-07-02,花蓮縣,0
2021-07-03,花蓮縣,0
2021-07-04,花蓮縣,0
2021-07-05,花蓮縣,0
2021-07-06,花蓮縣,0
2021-07-07,花蓮縣,0
2021-07-08,花蓮縣,0
2021-07-09,花蓮縣,0
2021-07-10,花蓮縣,0
2021-07-11,花蓮縣,0
2021-07-12,花蓮縣,0
2021-07-13,花蓮縣,0
2021-07-14,花蓮縣,0
2021-07-15,花蓮縣,0
2021-07-16,花蓮縣,0
2021-07-17,花蓮縣,0
2021-07-18,花蓮縣,0
2021-07-19,花蓮縣,0
2021-07-20,花蓮縣,0
2021-07-21,花蓮縣,0
2021-07-22,花蓮縣,0
2021-07-23,花蓮縣,0
2021-07-24,花蓮縣,0
2021-07-25,花蓮縣,0
2021-07-26,花蓮縣,0
2021-07-27,花蓮縣,0
2021-07-28,花蓮縣,0
2021-07-29,花蓮縣,0
2021-07-30,花蓮縣,0
2021-07-31,花蓮縣,0
2021-08-01,花蓮縣,0
2021-08-02,花蓮縣,0
2021-08-03,花蓮縣,0
2021-08-04,花蓮縣,0
2021-08-05,花蓮縣,0
2021-08-06,花蓮縣,0
2021-08-07,花蓮縣,0
2021-08-08,花蓮縣,0
2021-08-09,花蓮縣,0
2021-08-10,花蓮縣,0
2021-08-11,花蓮縣,0
2021-08-12,花蓮縣,0
2021-08-13,花蓮縣,0
2021-08-14,花蓮縣,0
2021-08-15,花蓮縣,0
2021-08-16,花蓮縣,0
2021-08-17,花蓮縣,0
2021-08-18,花蓮縣,0
2021-08-19,花蓮縣,0
2021-08-20,花蓮縣,0
2021-08-21,花蓮縣,0
2021-08-22,花蓮縣,0
2021-08-23,花蓮縣,0
2021-08-24,花蓮縣,0
2021-08-25,花蓮縣,0
2021-08-26,花蓮縣,0
2021-08-27,花蓮縣,0
2021-08-28,花蓮縣,0
2021-08-29,花蓮縣,0
2021-08-30,花蓮縣,0
2021-08-31,花蓮縣,0
2021-09-01,花蓮縣,0
2021-09-02,花蓮縣,0
2021-09-03,花蓮縣,0
2021-09-04,花蓮縣,0
2021-09-05,花蓮縣,0
2021-09-06,花蓮縣,0
2021-09-07,花蓮縣,0
2021-09-08,花蓮縣,0
2021-09-09,花蓮縣,0
2021-09-10,花蓮縣,0
2021-09-11,花蓮縣,0
2021-09-12,花蓮縣,0
2021-09-13,花蓮縣,0
2021-09-14,花蓮縣,0
2021-09-15,花蓮縣,0
2021-09-16,花蓮縣,0
2021-09-17,花蓮縣,0
2021-09-18,花蓮縣,0
2021-09-19,花蓮縣,0
2021-09-20,花蓮縣,0
2021-09-21,花蓮縣,0
2021-09-22,花蓮縣,0
2021-09-23,花蓮縣,0
2021-09-24,花蓮縣,0
2021-09-25,花蓮縣,0
2021-09-26,花蓮縣,0
2021-09-27,花蓮縣,0
2021-09-28,花蓮縣,0
2021-09-29,花蓮縣,0
2021-09-30,花蓮縣,0
2021-10-01,花蓮縣,0
2021-10-02,花蓮縣,0
2021-10-03,花蓮縣,0
2021-10-04,花蓮縣,0
2021-10-05,花蓮縣,0
2021-10-06,花蓮縣,0
2021-10-07,花蓮縣,0
2021-10-08,花蓮縣,0
2021-10-09,花蓮縣,0
2021-10-10,花蓮縣,0
2021-10-11,花蓮縣,0
2021-10-12,花蓮縣,0
2021-10-13,花蓮縣,0
2021-10-14,花蓮縣,0
2021-10-15,花蓮縣,0
2021-10-16,花蓮縣,0
2021-10-17,花蓮縣,0
2021-10-18,花蓮縣,0
2021-10-19,花蓮縣,0
2021-10-20,花蓮縣,0
2021-10-21,花蓮縣,0
2021-10-22,花蓮縣,0
2021-10-23,花蓮縣,0
2021-10-24,花蓮縣,0
2021-10-25,花蓮縣,0
2021-10-26,花蓮縣,0
2021-10-27,花蓮縣,0
2021-10-28,花蓮縣,0
2021-10-29,花蓮縣,0
2021-10-30,花蓮縣,0
2021-10-31,花蓮縣,0
2021-11-01,花蓮縣,0
2021-11-02,花蓮縣,0
2021-11-03,花蓮縣,0
2021-11-04,花蓮縣,0
2021-11-05,花蓮縣,0
2021-11-06,花蓮縣,0
2021-11-07,花蓮縣,0
2021-11-08,花蓮縣,0
2021-11-09,花蓮縣,0
2021-11-10,花蓮縣,0
2021-11-11,花蓮縣,0
2021-11-12,花蓮縣,0
2021-11-13,花蓮縣,0
2021-11-14,花蓮縣,0
2021-11-15,花蓮縣,0
2021-11-16,花蓮縣,0
