個案研判日,縣市,確定病例數
2021-05-17,苗栗縣,1
2021-05-18,苗栗縣,0
2021-05-19,苗栗縣,0
2021-05-20,苗栗縣,0
2021-05-21,苗栗縣,0
2021-05-22,苗栗縣,1
2021-05-23,苗栗縣,0
2021-05-24,苗栗縣,0
2021-05-25,苗栗縣,2
2021-05-26,苗栗縣,1
2021-05-27,苗栗縣,1
2021-05-28,苗栗縣,0
2021-05-29,苗栗縣,3
2021-05-30,苗栗縣,9
2021-05-31,苗栗縣,3
2021-06-01,苗栗縣,2
2021-06-02,苗栗縣,0
2021-06-03,苗栗縣,0
2021-06-04,苗栗縣,0
2021-06-05,苗栗縣,66
2021-06-06,苗栗縣,71
2021-06-07,苗栗縣,35
2021-06-08,苗栗縣,16
2021-06-09,苗栗縣,12
2021-06-10,苗栗縣,43
2021-06-11,苗栗縣,57
2021-06-12,苗栗縣,11
2021-06-13,苗栗縣,0
2021-06-14,苗栗縣,7
2021-06-15,苗栗縣,0
2021-06-16,苗栗縣,21
2021-06-17,苗栗縣,0
2021-06-18,苗栗縣,25
2021-06-19,苗栗縣,0
2021-06-20,苗栗縣,3
2021-06-21,苗栗縣,3
2021-06-22,苗栗縣,1
2021-06-23,苗栗縣,4
2021-06-24,苗栗縣,5
2021-06-25,苗栗縣,3
2021-06-26,苗栗縣,0
2021-06-27,苗栗縣,0
2021-06-28,苗栗縣,0
2021-06-29,苗栗縣,0
2021-06-30,苗栗縣,2
2021-07-01,苗栗縣,0
2021-07-02,苗栗縣,0
2021-07-03,苗栗縣,0
2021-07-04,苗栗縣,0
2021-07-05,苗栗縣,2
2021-07-06,苗栗縣,0
2021-07-07,苗栗縣,0
2021-07-08,苗栗縣,0
2021-07-09,苗栗縣,0
2021-07-10,苗栗縣,0
2021-07-11,苗栗縣,0
2021-07-12,苗栗縣,0
2021-07-13,苗栗縣,1
2021-07-14,苗栗縣,0
2021-07-15,苗栗縣,0
2021-07-16,苗栗縣,0
2021-07-17,苗栗縣,0
2021-07-18,苗栗縣,0
2021-07-19,苗栗縣,0
2021-07-20,苗栗縣,0
2021-07-21,苗栗縣,0
2021-07-22,苗栗縣,0
2021-07-23,苗栗縣,1
2021-07-24,苗栗縣,0
2021-07-25,苗栗縣,0
2021-07-26,苗栗縣,0
2021-07-27,苗栗縣,0
2021-07-28,苗栗縣,0
2021-07-29,苗栗縣,0
2021-07-30,苗栗縣,0
2021-07-31,苗栗縣,0
2021-08-01,苗栗縣,0
2021-08-02,苗栗縣,0
2021-08-03,苗栗縣,0
2021-08-04,苗栗縣,0
2021-08-05,苗栗縣,0
2021-08-06,苗栗縣,0
2021-08-07,苗栗縣,0
2021-08-08,苗栗縣,0
2021-08-09,苗栗縣,0
2021-08-10,苗栗縣,0
2021-08-11,苗栗縣,0
2021-08-12,苗栗縣,0
2021-08-13,苗栗縣,0
2021-08-14,苗栗縣,0
2021-08-15,苗栗縣,0
2021-08-16,苗栗縣,0
2021-08-17,苗栗縣,0
2021-08-18,苗栗縣,0
2021-08-19,苗栗縣,0
2021-08-20,苗栗縣,0
2021-08-21,苗栗縣,0
2021-08-22,苗栗縣,0
2021-08-23,苗栗縣,0
2021-08-24,苗栗縣,0
2021-08-25,苗栗縣,0
2021-08-26,苗栗縣,0
2021-08-27,苗栗縣,0
2021-08-28,苗栗縣,0
2021-08-29,苗栗縣,0
2021-08-30,苗栗縣,0
2021-08-31,苗栗縣,0
2021-09-01,苗栗縣,0
2021-09-02,苗栗縣,0
2021-09-03,苗栗縣,0
2021-09-04,苗栗縣,0
2021-09-05,苗栗縣,0
2021-09-06,苗栗縣,0
2021-09-07,苗栗縣,0
2021-09-08,苗栗縣,0
2021-09-09,苗栗縣,0
2021-09-10,苗栗縣,0
2021-09-11,苗栗縣,0
2021-09-12,苗栗縣,0
2021-09-13,苗栗縣,0
2021-09-14,苗栗縣,0
2021-09-15,苗栗縣,0
2021-09-16,苗栗縣,0
2021-09-17,苗栗縣,0
2021-09-18,苗栗縣,0
2021-09-19,苗栗縣,0
2021-09-20,苗栗縣,0
2021-09-21,苗栗縣,0
2021-09-22,苗栗縣,0
2021-09-23,苗栗縣,0
2021-09-24,苗栗縣,0
2021-09-25,苗栗縣,0
2021-09-26,苗栗縣,0
2021-09-27,苗栗縣,0
2021-09-28,苗栗縣,0
2021-09-29,苗栗縣,0
2021-09-30,苗栗縣,0
2021-10-01,苗栗縣,0
2021-10-02,苗栗縣,0
2021-10-03,苗栗縣,0
2021-10-04,苗栗縣,0
2021-10-05,苗栗縣,0
2021-10-06,苗栗縣,0
2021-10-07,苗栗縣,0
2021-10-08,苗栗縣,0
2021-10-09,苗栗縣,0
2021-10-10,苗栗縣,0
2021-10-11,苗栗縣,0
2021-10-12,苗栗縣,0
2021-10-13,苗栗縣,0
2021-10-14,苗栗縣,0
2021-10-15,苗栗縣,0
2021-10-16,苗栗縣,0
2021-10-17,苗栗縣,0
2021-10-18,苗栗縣,0
2021-10-19,苗栗縣,0
2021-10-20,苗栗縣,0
2021-10-21,苗栗縣,0
2021-10-22,苗栗縣,0
2021-10-23,苗栗縣,0
2021-10-24,苗栗縣,0
2021-10-25,苗栗縣,0
2021-10-26,苗栗縣,0
2021-10-27,苗栗縣,0
2021-10-28,苗栗縣,0
2021-10-29,苗栗縣,0
2021-10-30,苗栗縣,0
2021-10-31,苗栗縣,0
2021-11-01,苗栗縣,0
2021-11-02,苗栗縣,0
2021-11-03,苗栗縣,0
2021-11-04,苗栗縣,0
2021-11-05,苗栗縣,0
2021-11-06,苗栗縣,0
2021-11-07,苗栗縣,0
2021-11-08,苗栗縣,0
2021-11-09,苗栗縣,0
2021-11-10,苗栗縣,0
2021-11-11,苗栗縣,0
2021-11-12,苗栗縣,0
2021-11-13,苗栗縣,0
2021-11-14,苗栗縣,0
2021-11-15,苗栗縣,0
2021-11-16,苗栗縣,0
2021-11-17,苗栗縣,0
2021-11-18,苗栗縣,0
2021-11-19,苗栗縣,0
2021-11-20,苗栗縣,0
2021-11-21,苗栗縣,0
2021-11-22,苗栗縣,0
2021-11-23,苗栗縣,0
2021-11-24,苗栗縣,0
2021-11-25,苗栗縣,0
2021-11-26,苗栗縣,0
2021-11-27,苗栗縣,0
2021-11-28,苗栗縣,0
2021-11-29,苗栗縣,0
2021-11-30,苗栗縣,0
2021-12-01,苗栗縣,0
2021-12-02,苗栗縣,0
2021-12-03,苗栗縣,0
2021-12-04,苗栗縣,0
2021-12-05,苗栗縣,0
2021-12-06,苗栗縣,0
2021-12-07,苗栗縣,0
2021-12-08,苗栗縣,0
2021-12-09,苗栗縣,0
2021-12-10,苗栗縣,0
2021-12-11,苗栗縣,0
2021-12-12,苗栗縣,0
2021-12-13,苗栗縣,0
2021-12-14,苗栗縣,0
2021-12-15,苗栗縣,0
2021-12-16,苗栗縣,0
2021-12-17,苗栗縣,0
2021-12-18,苗栗縣,0
2021-12-19,苗栗縣,0
2021-12-20,苗栗縣,0
2021-12-21,苗栗縣,0
2021-12-22,苗栗縣,0
2021-12-23,苗栗縣,0
2021-12-24,苗栗縣,0
2021-12-25,苗栗縣,0
2021-12-26,苗栗縣,0
2021-12-27,苗栗縣,0
2021-12-28,苗栗縣,0
2021-12-29,苗栗縣,0
2021-12-30,苗栗縣,0
2021-12-31,苗栗縣,0
2022-01-01,苗栗縣,0
2022-01-02,苗栗縣,0
2022-01-03,苗栗縣,0
2022-01-04,苗栗縣,0
2022-01-05,苗栗縣,0
2022-01-06,苗栗縣,0
2022-01-07,苗栗縣,0
2022-01-08,苗栗縣,0
2022-01-09,苗栗縣,0
2022-01-10,苗栗縣,0
2022-01-11,苗栗縣,0
2022-01-12,苗栗縣,0
2022-01-13,苗栗縣,0
2022-01-14,苗栗縣,0
2022-01-15,苗栗縣,0
2022-01-16,苗栗縣,0
2022-01-17,苗栗縣,0
2022-01-18,苗栗縣,0
2022-01-19,苗栗縣,0
2022-01-20,苗栗縣,0
2022-01-21,苗栗縣,0
2022-01-22,苗栗縣,0
2022-01-23,苗栗縣,0
2022-01-24,苗栗縣,0
2022-01-25,苗栗縣,0
2022-01-26,苗栗縣,0
2022-01-27,苗栗縣,0
2022-01-28,苗栗縣,0
2022-01-29,苗栗縣,0
2022-01-30,苗栗縣,0
2022-01-31,苗栗縣,0
2022-02-01,苗栗縣,0
