個案研判日,縣市,確定病例數
2022-03-31,金門縣,1
2022-04-01,金門縣,1
2022-04-02,金門縣,0
2022-04-03,金門縣,1
2022-04-04,金門縣,0
2022-04-05,金門縣,0
2022-04-06,金門縣,0
2022-04-07,金門縣,0
2022-04-08,金門縣,0
2022-04-09,金門縣,0
2022-04-10,金門縣,0
2022-04-11,金門縣,0
2022-04-12,金門縣,0
2022-04-13,金門縣,1
2022-04-14,金門縣,0
2022-04-15,金門縣,0
2022-04-16,金門縣,0
2022-04-17,金門縣,0
2022-04-18,金門縣,0
2022-04-19,金門縣,0
2022-04-20,金門縣,0
2022-04-21,金門縣,5
2022-04-22,金門縣,2
2022-04-23,金門縣,5
2022-04-24,金門縣,1
2022-04-25,金門縣,9
2022-04-26,金門縣,11
2022-04-27,金門縣,3
2022-04-28,金門縣,0
2022-04-29,金門縣,15
2022-04-30,金門縣,13
2022-05-01,金門縣,12
2022-05-02,金門縣,5
2022-05-03,金門縣,11
2022-05-04,金門縣,18
2022-05-05,金門縣,4
2022-05-06,金門縣,12
2022-05-07,金門縣,20
2022-05-08,金門縣,10
2022-05-09,金門縣,0
2022-05-10,金門縣,27
2022-05-11,金門縣,55
2022-05-12,金門縣,0
2022-05-13,金門縣,106
2022-05-14,金門縣,111
2022-05-15,金門縣,112
2022-05-16,金門縣,70
2022-05-17,金門縣,120
2022-05-18,金門縣,119
2022-05-19,金門縣,0
2022-05-20,金門縣,0
2022-05-21,金門縣,0
2022-05-22,金門縣,0
2022-05-23,金門縣,92
2022-05-24,金門縣,97
2022-05-25,金門縣,115
2022-05-26,金門縣,65
2022-05-27,金門縣,132
2022-05-28,金門縣,103
2022-05-29,金門縣,68
2022-05-30,金門縣,106
2022-05-31,金門縣,72
2022-06-01,金門縣,0
2022-06-02,金門縣,107
2022-06-03,金門縣,153
2022-06-04,金門縣,109
2022-06-05,金門縣,121
2022-06-06,金門縣,130
2022-06-07,金門縣,60
2022-06-08,金門縣,103
2022-06-09,金門縣,104
2022-06-10,金門縣,66
2022-06-11,金門縣,0
2022-06-12,金門縣,44
2022-06-13,金門縣,100
2022-06-14,金門縣,94
2022-06-15,金門縣,109
2022-06-16,金門縣,99
2022-06-17,金門縣,120
2022-06-18,金門縣,86
2022-06-19,金門縣,0
2022-06-20,金門縣,124
2022-06-21,金門縣,101
2022-06-22,金門縣,131
2022-06-23,金門縣,121
2022-06-24,金門縣,74
2022-06-25,金門縣,0
2022-06-26,金門縣,51
2022-06-27,金門縣,190
2022-06-28,金門縣,99
2022-06-29,金門縣,0
2022-06-30,金門縣,0
2022-07-01,金門縣,125
2022-07-02,金門縣,88
2022-07-03,金門縣,83
2022-07-04,金門縣,195
2022-07-05,金門縣,127
2022-07-06,金門縣,152
2022-07-07,金門縣,156
2022-07-08,金門縣,0
2022-07-09,金門縣,135
2022-07-10,金門縣,94
2022-07-11,金門縣,205
2022-07-12,金門縣,171
2022-07-13,金門縣,145
2022-07-14,金門縣,141
2022-07-15,金門縣,145
2022-07-16,金門縣,211
2022-07-17,金門縣,0
2022-07-18,金門縣,0
2022-07-19,金門縣,153
2022-07-20,金門縣,0
2022-07-21,金門縣,0
2022-07-22,金門縣,119
2022-07-23,金門縣,0
2022-07-24,金門縣,93
2022-07-25,金門縣,234
2022-07-26,金門縣,118
2022-07-27,金門縣,172
2022-07-28,金門縣,152
2022-07-29,金門縣,125
2022-07-30,金門縣,130
2022-07-31,金門縣,72
2022-08-01,金門縣,177
2022-08-02,金門縣,116
2022-08-03,金門縣,0
2022-08-04,金門縣,128
2022-08-05,金門縣,97
2022-08-06,金門縣,107
2022-08-07,金門縣,113
2022-08-08,金門縣,125
2022-08-09,金門縣,130
2022-08-10,金門縣,149
2022-08-11,金門縣,129
2022-08-12,金門縣,95
2022-08-13,金門縣,103
2022-08-14,金門縣,0
2022-08-15,金門縣,93
2022-08-16,金門縣,56
2022-08-17,金門縣,91
2022-08-18,金門縣,108
2022-08-19,金門縣,99
2022-08-20,金門縣,91
2022-08-21,金門縣,64
2022-08-22,金門縣,163
2022-08-23,金門縣,88
2022-08-24,金門縣,102
2022-08-25,金門縣,93
2022-08-26,金門縣,0
2022-08-27,金門縣,80
2022-08-28,金門縣,0
2022-08-29,金門縣,136
2022-08-30,金門縣,0
2022-08-31,金門縣,120
2022-09-01,金門縣,0
2022-09-02,金門縣,0
2022-09-03,金門縣,0
2022-09-04,金門縣,0
2022-09-05,金門縣,114
2022-09-06,金門縣,89
2022-09-07,金門縣,85
2022-09-08,金門縣,106
2022-09-09,金門縣,0
2022-09-10,金門縣,0
2022-09-11,金門縣,107
2022-09-12,金門縣,0
2022-09-13,金門縣,130
2022-09-14,金門縣,107
2022-09-15,金門縣,117
2022-09-16,金門縣,98
2022-09-17,金門縣,85
2022-09-18,金門縣,61
2022-09-19,金門縣,125
2022-09-20,金門縣,111
2022-09-21,金門縣,78
2022-09-22,金門縣,100
2022-09-23,金門縣,104
2022-09-24,金門縣,91
2022-09-25,金門縣,65
2022-09-26,金門縣,115
2022-09-27,金門縣,102
2022-09-28,金門縣,86
2022-09-29,金門縣,90
2022-09-30,金門縣,0
2022-10-01,金門縣,83
2022-10-02,金門縣,0
2022-10-03,金門縣,0
2022-10-04,金門縣,0
2022-10-05,金門縣,104
2022-10-06,金門縣,115
2022-10-07,金門縣,74
2022-10-08,金門縣,0
2022-10-09,金門縣,0
2022-10-10,金門縣,134
2022-10-11,金門縣,0
2022-10-12,金門縣,0
2022-10-13,金門縣,132
2022-10-14,金門縣,133
2022-10-15,金門縣,0
2022-10-16,金門縣,87
2022-10-17,金門縣,135
2022-10-18,金門縣,125
2022-10-19,金門縣,110
2022-10-20,金門縣,118
2022-10-21,金門縣,0
2022-10-22,金門縣,120
2022-10-23,金門縣,86
2022-10-24,金門縣,0
2022-10-25,金門縣,0
2022-10-26,金門縣,0
2022-10-27,金門縣,0
2022-10-28,金門縣,87
2022-10-29,金門縣,111
2022-10-30,金門縣,70
2022-10-31,金門縣,90
2022-11-01,金門縣,83
2022-11-02,金門縣,74
2022-11-03,金門縣,55
2022-11-04,金門縣,97
