個案研判日,縣市,確定病例數
2021-05-14,高雄市,1
2021-05-15,高雄市,0
2021-05-16,高雄市,0
2021-05-17,高雄市,0
2021-05-18,高雄市,3
2021-05-19,高雄市,6
2021-05-20,高雄市,2
2021-05-21,高雄市,4
2021-05-22,高雄市,0
2021-05-23,高雄市,0
2021-05-24,高雄市,5
2021-05-25,高雄市,3
2021-05-26,高雄市,2
2021-05-27,高雄市,14
2021-05-28,高雄市,1
2021-05-29,高雄市,1
2021-05-30,高雄市,1
2021-05-31,高雄市,1
2021-06-01,高雄市,0
2021-06-02,高雄市,5
2021-06-03,高雄市,0
2021-06-04,高雄市,1
2021-06-05,高雄市,3
2021-06-06,高雄市,0
2021-06-07,高雄市,0
2021-06-08,高雄市,0
2021-06-09,高雄市,0
2021-06-10,高雄市,0
2021-06-11,高雄市,0
2021-06-12,高雄市,1
2021-06-13,高雄市,0
2021-06-14,高雄市,0
2021-06-15,高雄市,0
2021-06-16,高雄市,1
2021-06-17,高雄市,0
2021-06-18,高雄市,0
2021-06-19,高雄市,0
2021-06-20,高雄市,0
2021-06-21,高雄市,1
2021-06-22,高雄市,0
2021-06-23,高雄市,9
2021-06-24,高雄市,6
2021-06-25,高雄市,2
2021-06-26,高雄市,0
2021-06-27,高雄市,0
2021-06-28,高雄市,0
2021-06-29,高雄市,0
2021-06-30,高雄市,2
2021-07-01,高雄市,2
2021-07-02,高雄市,0
2021-07-03,高雄市,0
2021-07-04,高雄市,0
2021-07-05,高雄市,0
2021-07-06,高雄市,0
2021-07-07,高雄市,0
2021-07-08,高雄市,0
2021-07-09,高雄市,0
2021-07-10,高雄市,0
2021-07-11,高雄市,0
2021-07-12,高雄市,0
2021-07-13,高雄市,0
2021-07-14,高雄市,0
2021-07-15,高雄市,0
2021-07-16,高雄市,0
2021-07-17,高雄市,0
2021-07-18,高雄市,0
2021-07-19,高雄市,0
2021-07-20,高雄市,0
2021-07-21,高雄市,0
2021-07-22,高雄市,0
2021-07-23,高雄市,0
2021-07-24,高雄市,0
2021-07-25,高雄市,0
2021-07-26,高雄市,0
2021-07-27,高雄市,1
2021-07-28,高雄市,2
2021-07-29,高雄市,0
2021-07-30,高雄市,0
2021-07-31,高雄市,0
2021-08-01,高雄市,1
2021-08-02,高雄市,0
2021-08-03,高雄市,0
2021-08-04,高雄市,0
2021-08-05,高雄市,0
2021-08-06,高雄市,0
2021-08-07,高雄市,0
2021-08-08,高雄市,0
2021-08-09,高雄市,0
2021-08-10,高雄市,0
2021-08-11,高雄市,0
2021-08-12,高雄市,2
2021-08-13,高雄市,0
2021-08-14,高雄市,0
2021-08-15,高雄市,0
2021-08-16,高雄市,0
2021-08-17,高雄市,0
2021-08-18,高雄市,0
2021-08-19,高雄市,0
2021-08-20,高雄市,0
2021-08-21,高雄市,0
2021-08-22,高雄市,0
2021-08-23,高雄市,0
2021-08-24,高雄市,0
2021-08-25,高雄市,0
2021-08-26,高雄市,0
2021-08-27,高雄市,0
2021-08-28,高雄市,0
2021-08-29,高雄市,0
2021-08-30,高雄市,0
2021-08-31,高雄市,0
